task,manual_basic_top10,manual_tsfresh_basic_top10,overlap,new_in_manual_tsfresh,tsfresh_in_top10,num_tsfresh_in_top10,interpretation
RUL,h__time__mean_abs;mag__time__mean;mag__time__mean_abs;h__time__rms;h__time__std;mag__time__rms;v__time__mean_abs;mag__time__std;v__time__std;v__time__rms,mag__time__mean;h__time__rms;tsfresh__h__root_mean_square;h__time__std;tsfresh__h__standard_deviation;tsfresh__h__variance;mag__time__rms;tsfresh__v__variance;mag__time__std;tsfresh__v__standard_deviation,mag__time__mean;h__time__rms;h__time__std;mag__time__rms;mag__time__std,tsfresh__h__root_mean_square;tsfresh__h__standard_deviation;tsfresh__h__variance;tsfresh__v__variance;tsfresh__v__standard_deviation,tsfresh__h__root_mean_square;tsfresh__h__standard_deviation;tsfresh__h__variance;tsfresh__v__variance;tsfresh__v__standard_deviation,5,tsfresh duplicates manual amplitude/statistical features; no clear new feature family
HealthState,h__time__mean_abs;h__time__std;h__time__rms;mag__time__mean;mag__time__mean_abs;mag__time__rms;mag__spectral__entropy;h__time__ptp;mag__time__std;mag__spectral__centroid,h__time__std;tsfresh__h__standard_deviation;h__time__rms;tsfresh__h__root_mean_square;mag__time__mean;mag__time__rms;mag__spectral__entropy;tsfresh__h__maximum;mag__time__std;tsfresh__h__absolute_maximum,h__time__std;h__time__rms;mag__time__mean;mag__time__rms;mag__spectral__entropy;mag__time__std,tsfresh__h__standard_deviation;tsfresh__h__root_mean_square;tsfresh__h__maximum;tsfresh__h__absolute_maximum,tsfresh__h__standard_deviation;tsfresh__h__root_mean_square;tsfresh__h__maximum;tsfresh__h__absolute_maximum,4,tsfresh duplicates manual amplitude/statistical features; no clear new feature family
EarlyFault,h__time__mean_abs;mag__time__mean;mag__time__mean_abs;h__time__std;h__time__rms;mag__time__rms;v__time__mean_abs;v__time__rms;v__time__std;mag__time__std,mag__time__mean;h__time__std;tsfresh__h__standard_deviation;h__time__rms;tsfresh__h__root_mean_square;mag__time__rms;tsfresh__v__standard_deviation;v__time__std;v__time__rms;tsfresh__v__root_mean_square,mag__time__mean;h__time__std;h__time__rms;mag__time__rms;v__time__std;v__time__rms,tsfresh__h__standard_deviation;tsfresh__h__root_mean_square;tsfresh__v__standard_deviation;tsfresh__v__root_mean_square,tsfresh__h__standard_deviation;tsfresh__h__root_mean_square;tsfresh__v__standard_deviation;tsfresh__v__root_mean_square,4,tsfresh duplicates manual amplitude/statistical features; no clear new feature family
