task,feature,c1_rank,c1_score,c2_rank,c2_score,c3_rank,c3_score,mean_rank,mean_score,top10_count,label_source_count,decision
EarlyFault,mag__time__mean,7,0.728303173600773,6,0.9495525815489778,4,0.9422010486290352,5.666666666666667,0.8733522679262621,3,0,stable_candidate
EarlyFault,mag__time__mean_abs,7,0.728303173600773,6,0.9495525815489778,4,0.9422010486290352,5.666666666666667,0.8733522679262621,3,0,stable_candidate
EarlyFault,mag__time__rms,9,0.7279895517243837,5,0.951328459568156,6,0.9285572837136,6.666666666666667,0.8692917650020465,3,3,stable_candidate
EarlyFault,v__time__std,10,0.727078899065686,8,0.9468822343095652,10,0.8569307703414135,9.333333333333334,0.8436306345722215,3,0,stable_candidate
EarlyFault,mag__time__std,12,0.7259585619668975,4,0.9537933742389808,9,0.8721096789792993,8.333333333333334,0.850620538395059,2,0,stable_candidate
EarlyFault,v__time__mean_abs,13,0.7236292687444712,10,0.9460308043716524,8,0.8760974358283194,10.333333333333334,0.8485858363148143,2,0,stable_candidate
EarlyFault,h__time__mean_abs,15,0.6999966846837731,13,0.9318090933579892,1,1.0,9.666666666666666,0.8772685926805875,1,0,condition_specific
EarlyFault,h__time__std,17,0.6980837537688629,11,0.9356199303240592,2,0.9861177540423782,10.0,0.8732738127117669,1,0,condition_specific
EarlyFault,h__time__rms,16,0.6980899984535062,12,0.9354370920534828,3,0.9860788449416706,10.333333333333334,0.8732019784828866,1,0,condition_specific
EarlyFault,v__time__ptp,14,0.7166317526285033,2,0.996335510360968,15,0.7584181184575407,10.333333333333334,0.8237951271490042,1,0,condition_specific
EarlyFault,v__time__rms,11,0.7268932392903202,9,0.9468691259023416,11,0.8567840664022468,10.333333333333334,0.8435154771983028,1,0,condition_specific
EarlyFault,mag__time__ptp,19,0.6769286227864482,1,0.999895649166535,14,0.7601187675997201,11.333333333333334,0.8123143465175677,1,0,condition_specific
EarlyFault,h__time__ptp,20,0.6747997905259775,3,0.9930238404209536,12,0.8384302367978878,11.666666666666666,0.8354179559149396,1,0,condition_specific
EarlyFault,mag__spectral__entropy,2,0.871893382155962,15,0.8240881519699564,27,0.1501866944072622,14.666666666666666,0.6153894095110602,1,0,condition_specific
