feature,mutual_information,fisher_score,anova_f,anova_p,class_count,state_0_mean,state_0_std,state_1_mean,state_1_std,state_2_mean,state_2_std,state_3_mean,state_3_std
h__time__mean,0.016421405100881525,0.022986448386467215,41.383269245114604,1.9673492050755803e-26,4,-0.00025169566629696944,0.024731986660338875,0.009213848316757046,0.028987136597329315,0.008721856705569417,0.026603034298030133,0.006224098612397682,0.031326715902068786
h__time__std,0.6353126287949529,1.6781292900311913,3021.192098486155,0.0,4,0.6362648957412098,0.20274272965105142,1.115661078808475,0.3722381478533039,1.5758620241565813,0.4768742099707579,2.4662146959578184,1.15500583777863
h__time__rms,0.6362781737339225,1.677764619662944,3020.535570266525,0.0,4,0.6367466748190683,0.20273884334450393,1.1160808452174342,0.37222248388967905,1.5761295656248586,0.47681182440828884,2.4664460434762083,1.1549534315349401
h__time__mean_abs,0.637346613791614,1.7870970838620468,3217.3704499796454,0.0,4,0.5037303858389871,0.15632602994500266,0.8843369199103072,0.28122679487440394,1.2523140292001702,0.37186891319805804,1.94469409780243,0.8793776371054443
h__time__ptp,0.43011574567862554,1.1661813318216092,2099.5151243895034,0.0,4,6.085404022138847,2.8074869222134304,9.8703512609405,4.056001066696947,13.854716405147263,5.2470931714942015,23.358551881783782,10.751350180147561
h__time__skewness,0.11918027273768472,0.01942093697789818,34.96416020587967,2.2569302168935024e-22,4,-0.008671050959369061,0.024690916992418276,-0.00160076962335459,0.044413099219363344,-0.0013516055666633732,0.05695403730595295,-0.029090251359943073,0.1163028229318097
h__time__kurtosis,0.15069443420640916,0.02121897853726562,38.201234359923966,2.0195382779016905e-24,4,0.18912488490083393,0.28305757857952446,0.13214477333305696,0.2435007579834521,0.09546721238016628,0.2008407041333362,0.2795581544749127,0.3886684511267197
h__time__crest_factor,0.03287565918314339,0.02632699764222307,47.39737142188243,3.1523923838962042e-30,4,4.860870393655353,0.8723930931943663,4.596066482091509,0.43531143160439495,4.55393513408773,0.5755062920805358,5.045282455291136,0.898106343530023
h__time__impulse_factor,0.035469930542267436,0.02644922601817658,47.61742324139047,2.290556328490391e-30,4,6.138645136587288,1.1532365227041335,5.792517756237086,0.573042064715041,5.731159362851907,0.7535227942018253,6.387806802911072,1.180558764647189
h__time__clearance_factor,0.03365872793248048,0.026397903658944753,47.52502588732017,2.619255228469165e-30,4,7.272003040568681,1.3945468008801636,6.856132879033577,0.693243018305805,6.779101091958218,0.9065004379626334,7.574789785265482,1.4249036227110263
v__time__mean,0.030582221171242097,0.01902331803778133,34.24831357402897,6.40814783999302e-22,4,0.0014366595456814953,0.021908855622562694,0.009712192157149475,0.01994944507964587,0.009979504182305166,0.02040801656010226,0.0018873699681961854,0.05968947829336633
v__time__std,0.5250166779089982,0.9008920725659976,1621.9060279763203,0.0,4,0.6949241903576556,0.248731195411887,1.1177693266866922,0.45327420472161273,1.5450646229074945,0.5819408494471456,2.301257829850029,1.381943428968102
v__time__rms,0.5241567161497576,0.9004588501156986,1621.1260831582974,0.0,4,0.6952939568448924,0.24866687241283864,1.1179800524336672,0.4532975642373665,1.5452352927821635,0.58193110313817,2.3016691194360037,1.3825486974906893
v__time__mean_abs,0.5604956870561129,0.9783570988725752,1761.3688970035955,0.0,4,0.5392222990189051,0.17594805060071103,0.8704666814259643,0.3347668102592453,1.2224182193849402,0.44274854311500716,1.8333298415682693,1.1157549888521736
