bearing,windows,mse,rmse,mae,r2,phm2012_score,loss,paper_mse,delta_mse,paper_rmse,delta_rmse,paper_mae,delta_mae,paper_r2,delta_r2
Bearing1_3,2344,0.008847441617157713,0.0940608399768879,0.07988681538364653,0.8910956454796699,0.27525733818825215,0.0088474418223083,0.0047,0.004147441617157713,0.069,0.02506083997688789,0.037,0.04288681538364653,0.943,-0.05190435452033004
Bearing1_4,1397,0.02381450774361555,0.15431949890929386,0.12721537305761307,0.7018202060004312,0.2902148801163528,0.023814507579026277,0.0077,0.01611450774361555,0.086,0.06831949890929387,0.06,0.06721537305761308,0.91,-0.20817979399956887
Bearing1_5,2432,0.025392332679556602,0.1593497181659152,0.1030932015812117,0.6877281223607732,0.4978918499167516,0.025392332583004117,0.0198,0.0055923326795566,0.141,0.018349718165915213,0.091,0.012093201581211702,0.762,-0.07427187763922682
Bearing1_7,2228,0.023217252477653525,0.15237208562480703,0.09056867776115995,0.7138395169909499,0.4450238019046973,0.023217252811794865,0.0137,0.009517252477653525,0.117,0.03537208562480702,0.078,0.012568677761159955,0.836,-0.12216048300905002
Bearing2_3,1924,0.028951212820415854,0.17015055927153414,0.13028174603569442,0.6416667499879403,0.3875873523459458,0.028951213363772973,0.0223,0.006651212820415853,0.148,0.022150559271534143,0.112,0.01828174603569442,0.737,-0.09533325001205972
Bearing2_6,670,0.020224726962212815,0.14221366658030027,0.12895711300905044,0.7350820684275143,0.1226037055315463,0.020224727095285458,0.0085,0.011724726962212814,0.088,0.054213666580300274,0.069,0.05995711300905043,0.906,-0.1709179315724857
