rank,feature,importance
1,h__time__std,0.2624281346797943
2,h__time__rms,0.25843456387519836
3,h__time__mean_abs,0.24900050461292267
4,mag__time__mean,0.0895848423242569
5,mag__time__mean_abs,0.0842786580324173
6,mag__time__std,0.05627330392599106
