rank,feature,importance
1,mag__time__mean_abs,0.31461630923368217
2,mag__time__mean,0.31445221465012435
3,v__time__mean_abs,0.14878854580430412
4,v__time__std,0.11722061445569222
5,mag__time__std,0.1049223158561972
