feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.05200915387560475,0.5525966987517245,0.11576783447533075,0.8259709613148978
h__time__std,0.2781455570637987,0.8796470377060919,0.7765386030713683,0.7697902433969769
h__time__rms,0.2781455570637987,0.8796424231682017,0.7765477173829313,0.7698002922064919
h__time__mean_abs,0.2751970867703874,0.8737042460478651,0.7641460414739741,0.7764761952086
h__time__ptp,0.0828717239218962,0.8443468727892691,0.8017925301884544,0.8354615444365523
h__time__skewness,0.042104782290905286,0.7509880056954685,0.14834505173210275,0.8200935682597612
h__time__kurtosis,0.01910828025477707,0.6784992514495155,0.0579871532315046,0.8327818203641748
h__time__crest_factor,0.027521231422505305,0.647285920099002,0.17976849211483892,0.9658007673463781
h__time__impulse_factor,0.035934182590233545,0.6460221770753032,0.15930652304277612,0.9706225520843113
h__time__clearance_factor,0.031687898089171974,0.6448640648865654,0.14240441306609922,0.9660214724281457
v__time__mean,0.032746858793637534,0.5447557620403081,0.03541347378628809,0.6989478912189682
v__time__std,0.2858075771814416,0.8760128043206494,0.8270043916343596,0.7235197248120993
v__time__rms,0.2967365389300755,0.8760191772849764,0.8270388132969804,0.7234990735679315
v__time__mean_abs,0.31183216734537605,0.8766486234046172,0.8356316019538301,0.698861340021693
v__time__ptp,0.061958772754167966,0.8571912762100586,0.8035588698015665,0.7935412669283196
v__time__skewness,0.05944276217326233,0.7551476331151544,0.21676075682498563,0.9071595555416972
v__time__kurtosis,0.08793811562423863,0.7741469349333027,0.488931127388824,0.7403936543445698
v__time__crest_factor,0.026849918206814937,0.6062674691172956,0.23324065259383564,0.9324277297581905
v__time__impulse_factor,0.022762869374543176,0.6106887152510877,0.26316970224934544,0.9119862603658828
v__time__clearance_factor,0.027009153875604746,0.6131213102518492,0.27592326185478255,0.9002424419378067
mag__time__mean,0.32940900073091783,0.8813810735345987,0.8227013744030547,0.7640749925979278
mag__time__std,0.27346681285023144,0.8872714384790731,0.7898519101120819,0.8494736379917428
mag__time__rms,0.3337349030663743,0.8832197384887293,0.8158493035924052,0.7872714194025712
mag__time__mean_abs,0.32940900073091783,0.8813810735345987,0.8227013744030547,0.7640749925979278
mag__time__ptp,0.06636429292401935,0.8437660099895443,0.7834851450010755,0.855793562437512
mag__time__skewness,0.04859341825902336,0.7088274828490574,0.2024210387350016,0.7979415084218294
mag__time__kurtosis,0.05838380146879677,0.635568404639904,0.10224624066264004,0.9388425473580599
mag__time__crest_factor,0.03691352546030421,0.6219840572957542,0.11361162393697342,0.929598095907939
mag__time__impulse_factor,0.04237800633462114,0.6204048588272266,0.10598740720269166,0.9125760812126519
mag__time__clearance_factor,0.04662429083568271,0.6197051802503695,0.10240233341713029,0.9026855830612225
h__spectral__centroid,0.023981065747798545,0.82750827542546,0.4110305279347577,0.8802787495784125
h__spectral__bandwidth,0.06317696912742334,0.7662481247175088,0.34821507677110247,0.7735366798152773
h__spectral__rms_frequency,0.07646270578817305,0.8105599052034701,0.47355390312127166,0.8513468480155306
h__spectral__peak_frequency,0.09466060178900838,0.7469407474226406,0.38170936841181335,0.8361308659120835
h__spectral__entropy,0.04253724200341095,0.854214631633326,0.37049546598663713,0.7896018854605853
v__spectral__centroid,0.08562658800598656,0.8499281340410159,0.34787366123665014,0.9550389784389482
v__spectral__bandwidth,0.02814773241446521,0.8425507698183585,0.36342056395953964,0.9183344987885437
v__spectral__rms_frequency,0.07713401900386342,0.8476137180353174,0.3135914063785232,0.941924235975579
v__spectral__peak_frequency,0.047313224391771956,0.6801213024390075,0.16413533160750463,0.9039604180222021
v__spectral__entropy,0.051656311997493994,0.8695438362434182,0.5092250482414947,0.9660136434954677
mag__spectral__centroid,0.06750287146287982,0.8875590827297936,0.3493813586272381,0.9351189424791385
mag__spectral__bandwidth,0.024333907625909295,0.7794118761611449,0.2878524150926739,0.9085171959738836
mag__spectral__rms_frequency,0.05787172392189621,0.87120882130617,0.3462994789947185,0.9281327850154174
mag__spectral__peak_frequency,0.01865319689533953,0.6416131938406776,0.11465293519739957,0.9681904761620315
mag__spectral__entropy,0.07965002958476906,0.8934070304364901,0.3703595628152125,0.8570675932672799
