feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
v__spectral__entropy,0.5835644440862786,0.8784360753532126,0.9862780310355943,0.0,0.6120696376187713,14,1,1,1,1,False,,"HealthState,EarlyFault"
v__time__mean_abs,0.7349545684459793,0.7079280007975945,0.7236292687444712,0.0,0.5416279594970113,3,2,13,1,2,False,,"RUL,HealthState"
mag__time__mean,0.7353060960945429,0.7028792664606992,0.728303173600773,0.0,0.5416221340390037,1,3,7,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__mean_abs,0.7353060960945429,0.7028792664606992,0.728303173600773,0.0,0.5416221340390037,1,3,7,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__rms,0.7345760799827227,0.6963411975378241,0.7279895517243837,0.0,0.5397267073112326,4,7,9,1,5,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
v__time__rms,0.7285697994778435,0.6987760698286462,0.7268932392903202,0.0,0.5385597771492026,5,5,11,1,6,False,,"RUL,HealthState"
v__time__std,0.7258639354488265,0.6967365974609026,0.727078899065686,0.0,0.5374198579938538,6,6,10,1,7,False,,"RUL,HealthState"
mag__time__std,0.7106662331353449,0.6460268726156434,0.7259585619668975,0.0,0.5206629169294714,7,8,12,1,8,False,,"RUL,HealthState"
mag__spectral__entropy,0.5521936677963396,0.6073411110927515,0.871893382155962,0.0,0.5078570402612632,15,10,2,1,9,False,,EarlyFault
h__time__mean_abs,0.6984410082271023,0.6176355924246142,0.6999966846837731,0.0,0.5040183213338725,10,9,15,1,10,False,,HealthState
h__time__rms,0.7022325702173482,0.6036773491918203,0.6980899984535062,0.0,0.5009999794656687,8,11,16,1,11,False,,RUL
h__time__std,0.7022198424099447,0.6032881168795842,0.6980837537688629,0.0,0.500897928264598,9,12,17,1,12,False,,RUL
v__time__ptp,0.6507895576029966,0.599549481973568,0.7166317526285033,0.0,0.49174269805126697,11,13,14,1,13,False,,
h__time__ptp,0.6408852104966556,0.5764586668073165,0.6747997905259775,0.0,0.4730359169574874,12,14,20,1,14,False,,
mag__time__ptp,0.6326685626243753,0.5646731102390341,0.6769286227864482,0.0,0.4685675739124644,13,15,19,1,15,False,,
mag__spectral__centroid,0.5284434619459717,0.5240970168511283,0.7985605806381034,0.0,0.4627752648588008,16,16,3,1,16,False,,EarlyFault
h__spectral__entropy,0.5234180786648707,0.4896750147767745,0.7909464576139973,0.0,0.4510098877639106,18,18,4,1,17,False,,EarlyFault
v__spectral__centroid,0.5257278236562934,0.4940363364678114,0.7315577562354756,0.0,0.43783047908989514,17,17,6,1,18,False,,EarlyFault
mag__spectral__rms_frequency,0.5121126401215108,0.43850062313995736,0.7336941917239164,0.0,0.4210768637463461,19,20,5,1,19,False,,EarlyFault
v__spectral__rms_frequency,0.5052143523685491,0.44802598460358145,0.6819902938151411,0.0,0.4088076576968179,20,19,18,1,20,False,,
h__spectral__centroid,0.4797658805892866,0.3052504449938616,0.6015472255436061,0.0,0.34664088778168856,21,24,21,1,21,False,,
v__spectral__bandwidth,0.4789797045854893,0.3371354655659034,0.5673205495505085,0.0,0.3458589299254753,22,23,22,1,22,False,,
h__spectral__bandwidth,0.4401562616690576,0.2355943755587961,0.5099278493475137,0.0,0.29641962164384184,25,25,23,1,23,False,,
h__spectral__rms_frequency,0.46436374187630347,0.20306415719432985,0.46809720494492435,0.0,0.2838812760038894,23,28,24,1,24,False,,
mag__spectral__peak_frequency,0.3517770564842757,0.20623345644300356,0.4080633605858892,0.0,0.2415184683782921,26,27,25,1,25,False,,
h__spectral__peak_frequency,0.31036285103795935,0.3928067709831207,0.13346951861871226,0.0,0.2091597851599481,32,21,33,1,26,False,,
v__time__kurtosis,0.44579376099278156,0.2129813802475019,0.16065449006607685,0.0,0.20485740782659007,24,26,32,1,27,False,,
h__time__skewness,0.3113841540650613,0.14637452216812544,0.3494033238029491,0.0,0.20179050000903398,30,31,26,1,28,False,,
v__time__skewness,0.3115005927989203,0.14524951634752595,0.34034049480371786,0.0,0.19927265098754102,29,32,27,1,29,False,,
v__spectral__peak_frequency,0.20876725665180482,0.360446500836373,0.11909664001270927,0.0,0.17207759937522177,40,22,36,1,30,False,,
