feature,healthy_mean,fault_mean,mean_shift,cohens_d,auc,auc_raw,auc_abs,healthy_std,fault_std
h__time__mean,-0.002058127155166754,0.000734324876464572,0.002792452031631326,0.15529893718015864,0.5580895390070922,0.5580895390070922,0.5580895390070922,0.018186419584894534,0.017773490950124576
h__time__std,0.6301621494747434,2.22920227922013,1.5990401297453867,1.809815388587408,0.9340425531914894,0.9340425531914894,0.9340425531914894,0.11372041781745165,1.2443252825555224
h__time__rms,0.6304178442060143,2.229299148685435,1.5988813044794208,1.8096952063541305,0.9340647163120568,0.9340647163120568,0.9340647163120568,0.1137760585999994,1.244278888501719
h__time__mean_abs,0.49204513919287995,1.7178150614401682,1.2257699222472882,1.801913862152625,0.9369459219858156,0.9369459219858156,0.9369459219858156,0.0798376100308974,0.9587143937467656
h__time__ptp,7.951129600405693,27.416079644615767,19.464950044210074,1.84802278439494,0.9064937943262412,0.9064937943262412,0.9064937943262412,3.7437580838522675,14.41756595154585
h__time__skewness,0.014384297861819152,-0.05792835628245231,-0.07231265414427146,-0.866590318432103,0.7251551418439717,0.2748448581560283,0.7251551418439717,0.030910574002018215,0.11388890245642876
h__time__kurtosis,0.9514418139981652,1.0455398791049766,0.0940980651068114,0.10304399316370756,0.589561170212766,0.589561170212766,0.589561170212766,1.0359426774644227,0.771122980699658
h__time__crest_factor,6.455233971941212,6.783595659705904,0.32836168776469243,0.1747538864799705,0.5925975177304964,0.5925975177304964,0.5925975177304964,2.2821813628625667,1.3612101333655273
h__time__impulse_factor,8.29308038881538,8.795316672526395,0.5022362837110155,0.19951353556437268,0.5977836879432624,0.5977836879432624,0.5977836879432624,3.0661674403476704,1.8089387062468445
h__time__clearance_factor,9.882232755515215,10.555495728432899,0.6732629729176836,0.22068051997780141,0.6016843971631205,0.6016843971631205,0.6016843971631205,3.7108787405091466,2.201076970687567
v__time__mean,-0.001356248393934683,-0.000981241748248817,0.0003750066456858661,0.016804365920658204,0.503656914893617,0.503656914893617,0.503656914893617,0.021005431768675302,0.023553805572034223
v__time__std,0.5865972492228694,2.6432549198589905,2.0566576706361213,1.6433167097079384,0.9843306737588653,0.9843306737588653,0.9843306737588653,0.04834448854943097,1.7692681830557608
v__time__rms,0.5869642470232008,2.643376986964822,2.0564127399416208,1.643141252739396,0.9841755319148936,0.9841755319148936,0.9841755319148936,0.0484722875355036,1.769242867530986
v__time__mean_abs,0.46591990070041023,2.1059662476329626,1.6400463469325524,1.6189376480250357,0.9842863475177305,0.9842863475177305,0.9842863475177305,0.03717613502255118,1.4321705175867108
v__time__ptp,5.526051297783852,22.132089121121886,16.606037823338035,1.7972184282532842,0.953590425531915,0.953590425531915,0.953590425531915,1.0078968268810722,13.02819971324302
v__time__skewness,0.023799451570336055,-0.0506434763192606,-0.07444292788959665,-0.7523669044543413,0.7317819148936171,0.26821808510638295,0.7317819148936171,0.04208905597246351,0.1334493509858557
v__time__kurtosis,0.1574422520961925,0.10836820336315933,-0.04907404873303317,-0.17031499369313172,0.6370345744680851,0.3629654255319149,0.6370345744680851,0.13646679476510248,0.3839565832720717
v__time__crest_factor,4.955874947705525,4.632903974208673,-0.32297097349685266,-0.40353084678666534,0.6681515957446809,0.3318484042553192,0.6681515957446809,0.710593520409331,0.88103191745689
v__time__impulse_factor,6.244095992799115,5.840749469100506,-0.4033465236986089,-0.3903984470286714,0.6618129432624114,0.33818705673758864,0.6618129432624114,0.910552242890264,1.1426985031795795
v__time__clearance_factor,7.387744604274582,6.917495991176596,-0.4702486130979864,-0.3794006848505678,0.6574024822695035,0.34259751773049646,0.6574024822695035,1.084771120216585,1.3768623374969104
mag__time__mean,0.7520156530774396,3.0067000988889214,2.254684445811482,1.7360258157527744,0.973049645390071,0.973049645390071,0.973049645390071,0.09275795759381977,1.834383188384916
mag__time__std,0.42204981893801763,1.7711736654199943,1.3491238464819766,1.8204875359850607,0.959441489361702,0.959441489361702,0.959441489361702,0.07064424187623893,1.0456593836713772
mag__time__rms,0.862525172588285,3.492070863425307,2.6295456908370216,1.7619792710306277,0.9692597517730497,0.9692597517730497,0.9692597517730497,0.1153194103258259,2.1073936393187673
mag__time__mean_abs,0.7520156530774396,3.0067000988889214,2.254684445811482,1.7360258157527744,0.973049645390071,0.973049645390071,0.973049645390071,0.09275795759381977,1.834383188384916
mag__time__ptp,4.550757547435357,15.703408832578528,11.152651285143172,1.854695711074732,0.9076462765957447,0.9076462765957447,0.9076462765957447,2.0591148779342117,8.250886619897617
mag__time__skewness,1.0496281559671587,1.0221799167111114,-0.027448239256047335,-0.08342629996712339,0.5280585106382979,0.5280585106382979,0.5280585106382979,0.36707060982541295,0.2859313382343394
mag__time__kurtosis,2.738698310593145,1.6559925552673675,-1.0827057553257773,-0.49363691000043636,0.5303413120567375,0.46965868794326243,0.5303413120567375,2.7184260794092014,1.493821037515398
mag__time__crest_factor,5.085359880908657,4.688554902580189,-0.3968049783284675,-0.2878043272106627,0.5110150709219858,0.4889849290780142,0.5110150709219858,1.6973725426179838,0.9595463556027404
mag__time__impulse_factor,5.842811164137402,5.45388828725231,-0.38892287688509164,-0.2372584003045078,0.5030141843971632,0.5030141843971632,0.5030141843971632,2.0055201840052677,1.1627932870462674
mag__time__clearance_factor,6.34837667593405,5.976425649661506,-0.3719510262725443,-0.20592193101054707,0.5107047872340426,0.5107047872340426,0.5107047872340426,2.198918973222136,1.2999971959400634
h__spectral__centroid,5625.67004631452,3946.883417077083,-1678.786629237437,-1.6023621587426096,0.8689937943262411,0.13100620567375887,0.8689937943262411,890.9215060160792,1183.8868156512815
h__spectral__bandwidth,3560.6826757539397,3908.4151832410307,347.73250748709097,1.0777135986397515,0.851307624113475,0.851307624113475,0.851307624113475,85.60313613486763,448.2052942742081
h__spectral__rms_frequency,6672.7176165266765,5594.1090100431775,-1078.608606483499,-1.148316764704939,0.8015514184397163,0.1984485815602837,0.8015514184397163,776.2301361756644,1077.969533163712
h__spectral__peak_frequency,826.71875,868.7029033687943,41.984153368794296,0.08765280156688281,0.6219747340425532,0.3780252659574468,0.6219747340425532,614.9243874317401,284.1062592500677
h__spectral__entropy,0.8560935548880163,0.6993369254450865,-0.15675662944292978,-2.3638186272821624,0.9489804964539007,0.051019503546099285,0.9489804964539007,0.026795568394748493,0.08987410999480276
v__spectral__centroid,4441.28919974101,2312.0315580638758,-2129.257641677134,-2.1318725393864613,0.9229831560283688,0.0770168439716312,0.9229831560283688,993.3518591529822,1004.1657234270984
v__spectral__bandwidth,4076.940178142112,3185.8172342228936,-891.1229439192184,-1.5440492389276828,0.8438829787234042,0.15611702127659574,0.8438829787234042,445.5694321077486,683.8381654874462
v__spectral__rms_frequency,6041.534908137716,3956.3001453815596,-2085.2347627561567,-1.923603724263312,0.9032579787234043,0.09674202127659574,0.9032579787234043,1015.6903861662188,1148.3004709969575
v__spectral__peak_frequency,582.6318359375,768.8469636524823,186.21512771498226,0.44389915371218003,0.5602615248226951,0.5602615248226951,0.5602615248226951,529.1037702827678,268.342236569853
v__spectral__entropy,0.7897302448782383,0.5719404959089937,-0.21778974896924463,-3.5981858823881727,0.9711214539007093,0.02887854609929078,0.9711214539007093,0.03139657211666207,0.07963321530360408
mag__spectral__centroid,5424.813490689754,3421.1474219386046,-2003.6660687511494,-2.470633709388377,0.9419547872340426,0.05804521276595745,0.9419547872340426,645.6391294003953,947.9286109917105
mag__spectral__bandwidth,3998.9555889965923,3820.895061238021,-178.06052775857142,-0.5758709855897975,0.5881648936170213,0.4118351063829787,0.5881648936170213,96.98108332262062,426.38781357741885
mag__spectral__rms_frequency,6749.62072940949,5150.607583686237,-1599.0131457232528,-2.1140281231771554,0.9274379432624114,0.07256205673758866,0.9274379432624114,537.7010662047034,924.7191409331184
mag__spectral__peak_frequency,99.62890625,163.82978723404256,64.20088098404256,0.29860897529131164,0.8579565602836879,0.8579565602836879,0.8579565602836879,227.0495497278429,202.23343368764753
mag__spectral__entropy,0.9326167109666027,0.7629503923946184,-0.16966631857198433,-2.7452338162209533,0.9756427304964539,0.0243572695035461,0.9756427304964539,0.015989055380644997,0.0859290919048783
