feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
h__time__mean_abs,0.6193669807101265,0.9962923267289785,0.9956673681334776,0.0,0.6528316688931457,4,1,1,1,1,False,,"RUL,HealthState,EarlyFault"
h__time__rms,0.6193045511667673,0.9769311123094976,0.99110743215558,0.0,0.6468357739079612,5,2,3,1,2,False,,"RUL,HealthState,EarlyFault"
h__time__std,0.6188317993537891,0.974955214647958,0.9911767120252735,0.0,0.6462409315067552,6,3,2,1,3,False,,"RUL,HealthState,EarlyFault"
mag__time__mean,0.6246182401300011,0.8745682707966682,0.9611238763604877,0.0,0.6150775968217892,2,4,4,1,4,False,,"RUL,HealthState,EarlyFault"
mag__time__mean_abs,0.6246182401300011,0.8745682707966682,0.9611238763604877,0.0,0.6150775968217892,2,4,4,1,4,False,,"RUL,HealthState,EarlyFault"
mag__time__rms,0.6252042615484985,0.8504526436299317,0.954181131464432,0.0,0.6074595091607156,1,6,6,1,6,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
mag__time__std,0.6098628466237819,0.7603480896406012,0.9232956275503679,0.0,0.5733766409536878,8,7,7,1,7,False,,"RUL,HealthState,EarlyFault"
v__time__mean_abs,0.6129642722530992,0.736047104136563,0.9113414405111011,0.0,0.5650882042251908,7,9,9,1,8,False,,"RUL,HealthState,EarlyFault"
h__time__ptp,0.5659035992015966,0.7457506855059045,0.921421744423969,0.0,0.5582690072828675,11,8,8,1,9,False,,"HealthState,EarlyFault"
v__time__rms,0.6067628024811134,0.7172158026223592,0.9014283450620697,0.0,0.5563517375413856,9,10,11,1,10,False,,RUL
v__time__std,0.6053901023740476,0.7163909285553374,0.9015015336951941,0.0,0.5558206411561448,10,11,10,1,11,False,,
mag__time__ptp,0.5476208527637649,0.6397872338354076,0.881603132181001,0.0,0.5172528046950433,13,12,12,1,12,False,,
v__time__ptp,0.5528079084427256,0.582352495893252,0.8764272554907844,0.0,0.5028969149566904,12,13,13,1,13,False,,
h__spectral__bandwidth,0.41746820089685777,0.3693638164852852,0.686606425506809,0.0,0.368359610722238,14,16,15,1,14,False,,
v__spectral__peak_frequency,0.3264928464054798,0.45224497869653885,0.6942267179505417,0.0,0.3682411357631401,18,14,14,1,15,False,,
mag__spectral__entropy,0.3914959793201746,0.2111821254450533,0.4268397794517269,0.0,0.2573794710542387,15,19,16,1,16,False,,
h__spectral__peak_frequency,0.2675672819605206,0.3801834547436436,0.3781197461045088,0.0,0.2564676207021682,28,15,17,1,17,False,,
h__spectral__rms_frequency,0.32009266349496057,0.2354161286722342,0.3388243397879936,0.0,0.2235832829887971,21,18,20,1,18,False,,
h__spectral__entropy,0.3221539068814909,0.19884135306946338,0.36612297682630124,0.0,0.22177955919431389,20,22,18,1,19,False,,
mag__spectral__centroid,0.3463073050018846,0.17520460659849513,0.28005363656287174,0.0,0.20039138704081286,16,25,22,1,20,False,,
h__spectral__centroid,0.3098047683307436,0.20041732578432392,0.2743486342365531,0.0,0.19614268208790514,22,21,23,1,21,False,,
v__spectral__bandwidth,0.32582630217982295,0.14567750193525286,0.29603757477282877,0.0,0.19188534472197616,19,27,21,1,22,False,,
h__time__kurtosis,0.28713232530010546,0.10225002190039523,0.3424738479797107,0.0,0.18296404879505285,25,33,19,1,23,False,,
mag__spectral__rms_frequency,0.3302110537449137,0.15347784468445722,0.24400135961699332,0.0,0.18192256451159106,17,26,24,1,24,False,,
v__time__kurtosis,0.24163840966880723,0.27226414630804774,0.15688209224880628,0.0,0.1676961620564153,30,17,36,1,25,False,,
v__spectral__rms_frequency,0.3082244803227583,0.13671073195966002,0.22196276194234818,0.0,0.16672449355619162,23,31,26,1,26,False,,
v__spectral__entropy,0.2718679247721448,0.19694139007638625,0.19185153119231368,0.0,0.16516521151021119,27,23,29,1,27,False,,
v__spectral__centroid,0.29761843425510837,0.13867593273523857,0.1865602110454353,0.0,0.15571364450894556,24,30,30,1,28,False,,
mag__time__skewness,0.2725168717782333,0.14536463465177402,0.1747393301079946,0.0,0.14815520913450048,26,29,32,1,29,False,,
mag__time__kurtosis,0.2595595332852708,0.14563646582561776,0.18292196346091485,0.0,0.14702949064295084,29,28,31,1,30,False,,
v__time__skewness,0.22351721383072742,0.1763179536183653,0.0910757712693886,0.0,0.12272773467962034,35,24,39,1,31,False,,
h__time__clearance_factor,0.23360171707588331,0.023578569640408817,0.2223825368852292,0.0,0.11989070590038033,31,43,25,1,32,False,,
h__time__impulse_factor,0.2315816238818906,0.02811715946554095,0.21487766431148278,0.0,0.1186441119147286,32,41,27,1,33,False,,
mag__spectral__peak_frequency,0.18370245816667213,0.21011057968360838,0.06658128113580614,0.0,0.11509857974652167,43,20,44,1,34,False,,
h__time__crest_factor,0.22404332859650655,0.025623360534677155,0.19866518546223644,0.0,0.11208296864835504,34,42,28,1,35,False,,
mag__time__clearance_factor,0.22009002501825545,0.04484629827412661,0.16891747500756904,0.0,0.10846344957498777,36,38,33,1,36,False,,
h__time__skewness,0.18866524709156285,0.10841980169002148,0.13289489806915816,0.0,0.10749498671268562,41,32,37,1,37,False,,
mag__time__impulse_factor,0.21829666265575093,0.0419013315842772,0.16837381149566535,0.0,0.10714295143392338,37,39,35,1,38,False,,
mag__time__crest_factor,0.21373771865486796,0.03565442156670883,0.16870366217379812,0.0,0.10452395059884373,38,40,34,1,39,False,,
