feature,healthy_mean,fault_mean,mean_shift,cohens_d,auc,auc_raw,auc_abs,healthy_std,fault_std
h__time__mean,0.00010509843784009532,0.0055031418710331185,0.005398043433193023,0.21367027158236934,0.5511361250714242,0.5511361250714242,0.5511361250714242,0.024806719221346536,0.025712024971995245
h__time__std,0.6022213714011776,1.768002774373819,1.1657814029726414,1.4946085792424109,0.9502539326704188,0.9502539326704188,0.9502539326704188,0.20567791279352143,1.0837291432180471
h__time__rms,0.6027576713662791,1.7682549879851344,1.1654973166188554,1.4943864327151204,0.9502578575822909,0.9502578575822909,0.9502578575822909,0.2056029132982399,1.0836366348172015
h__time__mean_abs,0.47695003353544385,1.386618000719995,0.9096679671845512,1.5137803460011319,0.9486063824543661,0.9486063824543661,0.9486063824543661,0.1587545746430177,0.8348759923533747
h__time__ptp,5.7622246897408225,17.08640131520611,11.324176625465288,1.3914930882571541,0.9190142355640828,0.9190142355640828,0.9190142355640828,2.863380577039746,11.14719497568474
h__time__skewness,-0.007668126588507702,-0.04651333562469613,-0.03884520903618843,-0.4041032523086322,0.513838874152721,0.513838874152721,0.513838874152721,0.024511293629991215,0.1337160185705466
h__time__kurtosis,0.1908087788026156,0.4145690467733343,0.22376026797071868,0.4445440557418987,0.6863314487671213,0.6863314487671213,0.6863314487671213,0.3572759904843508,0.6156881205750058
h__time__crest_factor,4.842610475293268,5.167950643398508,0.3253401681052397,0.2980798214465729,0.6026251271032508,0.6026251271032508,0.6026251271032508,0.9739239510340403,1.1975024895966284
h__time__impulse_factor,6.115071526514647,6.584021015108883,0.4689494885942356,0.32136470144646984,0.610084741585628,0.610084741585628,0.610084741585628,1.2939169686073992,1.6076580945835661
h__time__clearance_factor,7.243055603887791,7.834046576841008,0.5909909729532163,0.3330946533879657,0.6132601778441463,0.6132601778441463,0.6132601778441463,1.5651863183898886,1.9611401538332294
v__time__mean,0.0011210477077397691,0.004580561859345708,0.0034595141516059386,0.13077367679643453,0.5503366296507923,0.5503366296507923,0.5503366296507923,0.021938964069374293,0.03030399614082262
