rank,feature,importance
1,h__time__std,0.19189547155002207
2,h__time__rms,0.18990629738609516
3,mag__time__mean,0.15751871080675275
4,mag__time__std,0.15693791878669702
5,h__time__mean_abs,0.1525377804427133
6,mag__time__mean_abs,0.15120382102771987
