target_id,experiment_name,method_name,local_method_name,dataset_name,condition_name,metric_name,target_value,local_value,local_mean,local_std,gap_percent,mean_gap_percent,metric_direction,run_count,seeds,prediction_count,source_url,source_commit,split_description,evidence_path,status,notes
rulsurv-xjtu-high-rsf-true-mae,RULSurv-RSF-port-rulsurv_original_25pct_censored_cv,RULSurv RSF,RULSurv RSF port,XJTU-SY,highest_load_censored_cv,true_mae_minutes,12.6,6.521191523390644,6.926416100226576,0.2930731900510531,0.0,0.0,lower,3,"0,1,2",611,https://github.com/thecml/rulsurv,6365e0832de9724a5bcbbac4557c6643dfb78d91,"RULSurv-compatible XJTU-SY condition 1 row-level 5-fold CV with 25% random censoring; rows from the same bearing can appear in different folds, so this is not a held-out-bearing generalization split",docs/reproduction-evidence/rulsurv_rsf_port/rulsurv_rsf_port_metrics.csv,PROTOCOL_PASS,Local Python 3.11 port of the RULSurv RSF route using RULSurv-style time/frequency features. Original repo dependencies are not vendored; scikit-survival is supplied at run time with uv --with. Interpret the original-protocol CV separately from the project holdout migration result. The project migration split uses a fixed conservative survival quantile decoding strategy.
rulsurv-xjtu-high-rsf-true-mae,RULSurv-RSF-port-project_bearing1_3_holdout_migration,RULSurv RSF,RULSurv RSF port,XJTU-SY,condition_1_35Hz12kN,true_mae_minutes,12.6,14.044585987261147,14.307855626326964,0.18796704865300498,11.46496815286625,13.554409732753683,lower,3,"0,1,2",157,https://github.com/thecml/rulsurv,6365e0832de9724a5bcbbac4557c6643dfb78d91,"Project migration split: train Bearing1_1/Bearing1_2/Bearing1_4/Bearing1_5, test Bearing1_3",docs/reproduction-evidence/rulsurv_rsf_port/rulsurv_rsf_port_metrics.csv,MIGRATION_PASS,Local Python 3.11 port of the RULSurv RSF route using RULSurv-style time/frequency features. Original repo dependencies are not vendored; scikit-survival is supplied at run time with uv --with. Interpret the original-protocol CV separately from the project holdout migration result. The project migration split uses a fixed conservative survival quantile decoding strategy.
