protocol,seed,fold_index,split_name,mae_true_minutes,rmse_true_minutes,r2_true,prediction_count
rulsurv_original_25pct_censored_cv,0,0,five_fold_row_level_cv,10.868852459016393,13.218218922207706,0.8844704360404161,122
rulsurv_original_25pct_censored_cv,0,1,five_fold_row_level_cv,9.49586776859504,12.224146271462711,0.9155923778076961,121
rulsurv_original_25pct_censored_cv,0,2,five_fold_row_level_cv,11.057851239669422,15.084883791672526,0.8761444305415041,121
rulsurv_original_25pct_censored_cv,0,3,five_fold_row_level_cv,10.735537190082646,14.338585750425809,0.8870713417263952,121
rulsurv_original_25pct_censored_cv,0,4,five_fold_row_level_cv,10.429752066115702,13.463142216700655,0.9107649512988312,121
rulsurv_original_25pct_censored_cv,1,0,five_fold_row_level_cv,9.926229508196721,12.430462318136962,0.9168707226676529,122
rulsurv_original_25pct_censored_cv,1,1,five_fold_row_level_cv,9.256198347107437,11.266127100060196,0.92632416198362,121
rulsurv_original_25pct_censored_cv,1,2,five_fold_row_level_cv,10.289256198347108,13.631211147780373,0.9009349850414338,121
rulsurv_original_25pct_censored_cv,1,3,five_fold_row_level_cv,10.239669421487603,13.233753488899461,0.9096803407200391,121
rulsurv_original_25pct_censored_cv,1,4,five_fold_row_level_cv,10.231404958677686,12.831392289972806,0.8984617893803325,121
rulsurv_original_25pct_censored_cv,2,0,five_fold_row_level_cv,11.237704918032787,14.193914650819698,0.8960642592441881,122
rulsurv_original_25pct_censored_cv,2,1,five_fold_row_level_cv,10.851239669421487,13.084910241689007,0.8917659821917704,121
rulsurv_original_25pct_censored_cv,2,2,five_fold_row_level_cv,9.603305785123966,12.311386921621963,0.9194979017448808,121
rulsurv_original_25pct_censored_cv,2,3,five_fold_row_level_cv,9.049586776859504,11.160363748922544,0.9323525793840983,121
rulsurv_original_25pct_censored_cv,2,4,five_fold_row_level_cv,10.834710743801653,13.352499998065797,0.8986326473075839,121
project_bearing1_3_holdout_migration,0,0,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,19.762820512820515,22.42723275909824,0.7519716773877447,156
project_bearing1_3_holdout_migration,1,0,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,19.416666666666668,22.086223806963517,0.7594569391980528,156
project_bearing1_3_holdout_migration,2,0,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,19.352564102564102,22.104791219819173,0.7590523304515497,156
