feature,monotonicity,robustness,trendability,prognosability
h__time__mean,0.014321518080916576,0.5503461665864783,0.07486228444708816,0.785620491613324
h__time__std,0.08942892946652344,0.9147998514959547,0.6474891074010891,0.8333677748565129
h__time__rms,0.09318832796276405,0.914784457796816,0.6474755966150344,0.833366510677623
h__time__mean_abs,0.09509488005728607,0.9222645023114766,0.6354160541811473,0.859370692255269
h__time__ptp,0.06826441102756892,0.8550597334297728,0.6380620316885403,0.788666113372615
h__time__skewness,0.03140440386680988,0.7656910564769067,0.24452276920942842,0.8582439539761776
h__time__kurtosis,0.04221267454350161,0.7565109482924779,0.042224650125696324,0.8366959031850965
h__time__crest_factor,0.030057286072323667,0.6748315311946581,0.22931699236256695,0.9016958652117072
h__time__impulse_factor,0.02956498388829216,0.6864448255278348,0.21199545090491498,0.8918119822176315
h__time__clearance_factor,0.03247851772287862,0.6923425923762822,0.2009099240993962,0.885769675212437
v__time__mean,0.006780343716433942,0.5500108746238183,0.12106134387223917,0.7572501799096611
v__time__std,0.10577336197636948,0.9396549775471961,0.49254390452695523,0.8543657631833956
v__time__rms,0.10441281775868243,0.9396429854286114,0.4925123490034924,0.8543514892340693
v__time__mean_abs,0.11868063014679557,0.9398522803032817,0.485689971035292,0.8647308163695501
v__time__ptp,0.039898854278553525,0.9100562264249459,0.5580743169751713,0.8379878776917813
v__time__skewness,0.03154761904761905,0.7402847322540075,0.1648779303049715,0.7893581466101324
v__time__kurtosis,0.03556211958467597,0.7465490284210258,0.22534279974931978,0.885876065663713
v__time__crest_factor,0.02358575008950949,0.6796285247763975,0.1486299323649646,0.9357640910292515
v__time__impulse_factor,0.022847296813462228,0.6878892824004018,0.15624149086506023,0.9287940931893901
v__time__clearance_factor,0.022954708199069102,0.6930131325142416,0.16029249143584584,0.9249703853485288
mag__time__mean,0.12137934121016829,0.9362780429037224,0.5635554528910408,0.9146281828670187
mag__time__std,0.12044844253490868,0.9192398714366066,0.6129206916662143,0.8828966895571011
mag__time__rms,0.13338703902613677,0.932702457363313,0.5766376402014101,0.9068078064761149
mag__time__mean_abs,0.12137934121016829,0.9362780429037224,0.5635554528910408,0.9146281828670187
mag__time__ptp,0.0324874686716792,0.863209336286563,0.6209497300712981,0.8115894268843291
mag__time__skewness,0.06423648406731114,0.7443864575055043,0.2047536234955348,0.8622285576293517
mag__time__kurtosis,0.0507608306480487,0.6910367595978748,0.24363950554925343,0.9196973115071897
mag__time__crest_factor,0.024422663802363048,0.6765474992061163,0.2406294866748511,0.9014992681307062
mag__time__impulse_factor,0.024530075187969926,0.683707331872768,0.23508223907897233,0.896862738717659
mag__time__clearance_factor,0.016581632653061226,0.6877986931596912,0.2322761467315744,0.8940189711934206
h__spectral__centroid,0.05793949158610812,0.8219296754490392,0.139336962068651,0.9567090073782828
h__spectral__bandwidth,0.019826351593268888,0.8472974833043136,0.25721722359290644,0.9280054363531939
h__spectral__rms_frequency,0.04236484067311135,0.8332220949875803,0.18520044736664834,0.9465965034971052
h__spectral__peak_frequency,0.014220819906910133,0.6290658610267074,0.04263098507553432,0.9444008825982282
h__spectral__entropy,0.02559076262083781,0.8280660961825163,0.3554879963833886,0.7979773862677978
v__spectral__centroid,0.017342463301109917,0.8068826578204539,0.059536686448359,0.9472910552439413
v__spectral__bandwidth,0.02699606158252775,0.8591063935124854,0.22152697657717949,0.9453893021395096
v__spectral__rms_frequency,0.02110186179735052,0.8387444478282152,0.1703093288630275,0.9472959807821395
v__spectral__peak_frequency,0.01909908700322234,0.6158419025980747,0.13430636072218569,0.766712827418221
v__spectral__entropy,0.03096580737558181,0.8279626619426516,0.18155080818364822,0.7380004863396533
mag__spectral__centroid,0.024807554600787683,0.8514224585763542,0.12193364902507549,0.9812410606323342
mag__spectral__bandwidth,0.04530075187969925,0.8698935204527296,0.24498814923742576,0.9174448112101422
mag__spectral__rms_frequency,0.04005102040816327,0.8609293282131248,0.13312160010168547,0.9611153662478349
mag__spectral__peak_frequency,0.00845640887934121,0.6000332141875381,0.06662958474158386,0.9797281606219902
mag__spectral__entropy,0.012938596491228069,0.8784128248973618,0.33218797502571756,0.7761892020237242
