feature,rul_score,health_score,early_fault_score,fault_type_score,overall_score,rank_rul,rank_health,rank_early_fault,rank_fault_type,rank_overall,is_label_source,label_source_warning,recommended_for
mag__time__std,0.6557272654617895,0.9924359098588,0.9537933742389808,0.0,0.6504891373898926,1,1,4,1,1,False,,"RUL,HealthState,EarlyFault"
h__time__ptp,0.6327328234097969,0.9726589877650811,0.9930238404209537,0.0,0.6496039128989579,8,5,3,1,2,False,,"RUL,HealthState,EarlyFault"
mag__time__ptp,0.6215857115173201,0.9610966869020489,0.999895649166535,0.0,0.645644511896476,12,7,1,1,3,False,,"HealthState,EarlyFault"
v__time__ptp,0.6204249600545741,0.9595190898813497,0.996335510360968,0.0,0.644069890074223,13,8,2,1,4,False,,"HealthState,EarlyFault"
mag__time__rms,0.6544405882744502,0.9688176001728014,0.9513284595681561,0.0,0.6436466620038519,2,6,5,1,5,True,Used as HI source for FPT-based labels; do not overclaim independent detection ability.,"RUL,HealthState,EarlyFault"
h__time__rms,0.6542490286556777,0.9820369050572239,0.9354370920534829,0.0,0.6429307564415961,3,3,12,1,6,False,,"RUL,HealthState"
h__time__std,0.6533142918257953,0.9818580464823352,0.9356199303240593,0.0,0.6426980671580474,5,4,11,1,7,False,,"RUL,HealthState"
h__time__mean_abs,0.6533690875437028,0.982140145006334,0.9318090933579892,0.0,0.6418295814770065,4,2,13,1,8,False,,"RUL,HealthState"
mag__time__mean,0.6494121494785365,0.9559761747750559,0.9495525815489778,0.0,0.6387352264506425,6,9,6,1,9,False,,"RUL,HealthState,EarlyFault"
mag__time__mean_abs,0.6494121494785365,0.9559761747750559,0.9495525815489778,0.0,0.6387352264506425,6,9,6,1,9,False,,"RUL,HealthState,EarlyFault"
v__time__rms,0.6304738426794938,0.8788063377930335,0.9468691259023416,0.0,0.6140373265937172,11,11,9,1,11,False,,EarlyFault
v__time__std,0.630824311971327,0.877735096094283,0.9468822343095651,0.0,0.6138604105937938,10,12,8,1,12,False,,EarlyFault
v__time__mean_abs,0.6324931489712778,0.8619428666244231,0.9460308043716525,0.0,0.6101167049918383,9,13,10,1,13,False,,RUL
mag__spectral__entropy,0.5177345693943929,0.3920009032796711,0.8240881519699564,0.0,0.4334559061610051,14,15,15,1,14,False,,
h__time__clearance_factor,0.39409859991471485,0.3534333266376981,0.827274319966924,0.0,0.3937015616298343,17,18,14,1,15,False,,
h__time__impulse_factor,0.39183729197667433,0.34337120529609866,0.8108292839475575,0.0,0.38650944530508263,19,19,16,1,16,False,,
h__time__kurtosis,0.3884861389099166,0.33041104593764875,0.8069911618012697,0.0,0.3814720866622088,22,20,17,1,17,False,,
mag__time__skewness,0.41427424624641507,0.29183077106172056,0.7856192691582944,0.0,0.3729310716166075,15,29,18,1,18,False,,
h__time__crest_factor,0.385967398521062,0.32941031440212243,0.7722381843321414,0.0,0.3719039743138315,24,21,19,1,19,False,,
mag__time__kurtosis,0.3900940331952461,0.28924753756552823,0.670653120799206,0.0,0.33749867288999513,21,30,20,1,20,False,,
mag__time__clearance_factor,0.31804212011565036,0.307514155184901,0.5714533085077873,0.0,0.29925239595208464,32,25,21,1,21,False,,
mag__time__impulse_factor,0.31575119852443917,0.29654843384231866,0.559175681859406,0.0,0.29286882855654095,33,26,22,1,22,False,,
mag__spectral__centroid,0.3906133163877772,0.24264620147392146,0.5320466560715472,0.0,0.29132654348331144,20,33,23,1,23,False,,
mag__time__crest_factor,0.3059578374003933,0.29456749395047316,0.5315163399780839,0.0,0.28301041783223757,34,28,24,1,24,False,,
mag__spectral__rms_frequency,0.3925495627153123,0.23507432360218092,0.5035678721407125,0.0,0.28279793961455146,18,35,27,1,25,False,,
h__time__skewness,0.38471831315123545,0.20723862274133245,0.5143019730977559,0.0,0.27656472724758097,25,41,25,1,26,False,,
v__spectral__entropy,0.3799112415143818,0.16700439677666126,0.5072624093503231,0.0,0.26354451191034156,26,43,26,1,27,False,,
h__spectral__entropy,0.38765537379811904,0.30909126046361124,0.3523373799766141,0.0,0.2622710035595861,23,24,30,1,28,False,,
mag__spectral__bandwidth,0.3990139364387373,0.23038774216576582,0.41516540722473927,0.0,0.2611417714573106,16,37,28,1,29,False,,
v__spectral__peak_frequency,0.23660013329534565,0.29506428038497196,0.3744737400867171,0.0,0.22653453844175866,38,27,29,1,30,False,,
h__spectral__bandwidth,0.35112558058896864,0.41835555359280396,0.12535515155097937,0.0,0.22370907143318802,27,14,38,1,31,False,,
v__time__kurtosis,0.2689132380733406,0.2717134542822723,0.3050721079875206,0.0,0.21142470008578337,36,31,32,1,32,False,,
v__spectral__bandwidth,0.3499411060166052,0.26058901882986163,0.2163821431876576,0.0,0.2067280670085311,28,32,35,1,33,False,,
h__spectral__rms_frequency,0.3451024051208042,0.3705655537649109,0.10620746625850253,0.0,0.2054688562860544,29,16,41,1,34,False,,
h__spectral__centroid,0.3389588807627635,0.3682846019640972,0.09688593122777373,0.0,0.2010323534886586,30,17,42,1,35,False,,
v__time__clearance_factor,0.22073904648011733,0.23104569069635378,0.3061858260032394,0.0,0.1894926407949276,39,36,31,1,36,False,,
mag__spectral__peak_frequency,0.25004823377923674,0.3287451860649238,0.17905166515487864,0.0,0.1894612712497598,37,22,37,1,37,False,,
v__spectral__rms_frequency,0.3308999054684363,0.24141578788955154,0.180199299548849,0.0,0.18812874822670922,31,34,36,1,38,False,,
v__time__impulse_factor,0.21758582858399872,0.22458821737726695,0.30452040236532424,0.0,0.18667361208164746,40,38,33,1,39,False,,
v__time__crest_factor,0.21096082690516627,0.20926451185581757,0.2974331834535868,0.0,0.17941463055364265,42,40,34,1,40,False,,
v__spectral__centroid,0.28945574163153515,0.2129739060384054,0.10894093224145884,0.0,0.15284264497784986,35,39,40,1,41,False,,
v__time__skewness,0.21392315535221143,0.20157077930657788,0.11181993472848595,0.0,0.1318284673468188,41,42,39,1,42,False,,
h__spectral__peak_frequency,0.16289923529586908,0.3164231099039454,0.0,0.0,0.11983058629995362,44,23,45,1,43,False,,
h__time__mean,0.14491897959573952,0.016236495704142352,0.025835868797084716,0.0,0.046747836024241644,45,44,43,1,44,False,,
v__time__mean,0.16475468992877212,0.0019025353704691026,0.01777475166862393,0.0,0.046107994241966294,43,45,44,1,45,False,,
