feature,target_column,split_scope,n,pearson,abs_pearson,spearman,abs_spearman,kendall,abs_kendall
h__time__mean,piecewise_rul_norm,fit,1185,0.05229723455036845,0.05229723455036845,0.046562599625134475,0.046562599625134475,0.034539395125090855,0.034539395125090855
h__time__std,piecewise_rul_norm,fit,1185,-0.928833503104317,0.928833503104317,-0.9099979076564447,0.9099979076564447,-0.7800417382162965,0.7800417382162965
h__time__rms,piecewise_rul_norm,fit,1185,-0.9287833196952782,0.9287833196952782,-0.9099998165217614,0.9099998165217614,-0.7800249102527764,0.7800249102527764
h__time__mean_abs,piecewise_rul_norm,fit,1185,-0.9282047038762262,0.9282047038762262,-0.9087407320881614,0.9087407320881614,-0.7787358882471337,0.7787358882471337
h__time__ptp,piecewise_rul_norm,fit,1185,-0.9272367436774964,0.9272367436774964,-0.9058353360835485,0.9058353360835485,-0.7602643173750537,0.7602643173750537
h__time__skewness,piecewise_rul_norm,fit,1185,0.5386099994777318,0.5386099994777318,0.49949842013504564,0.49949842013504564,0.37706249579946316,0.37706249579946316
h__time__kurtosis,piecewise_rul_norm,fit,1185,-0.42030205707268925,0.42030205707268925,-0.6233881445440183,0.6233881445440183,-0.4498232444678519,0.4498232444678519
h__time__crest_factor,piecewise_rul_norm,fit,1185,-0.2154041188324704,0.2154041188324704,-0.5646382065472457,0.5646382065472457,-0.37603599002473453,0.37603599002473453
h__time__impulse_factor,piecewise_rul_norm,fit,1185,-0.24980597609090868,0.24980597609090868,-0.5850228306230039,0.5850228306230039,-0.38852233895667965,0.38852233895667965
h__time__clearance_factor,piecewise_rul_norm,fit,1185,-0.2671012944479679,0.2671012944479679,-0.5923670491110272,0.5923670491110272,-0.3938736313560848,0.3938736313560848
v__time__mean,piecewise_rul_norm,fit,1185,0.11202259725437204,0.11202259725437204,0.08241474371557751,0.08241474371557751,0.060074146970553875,0.060074146970553875
v__time__std,piecewise_rul_norm,fit,1185,-0.9269346649614583,0.9269346649614583,-0.9084034144640127,0.9084034144640127,-0.7708166486145549,0.7708166486145549
v__time__rms,piecewise_rul_norm,fit,1185,-0.9269226732368165,0.9269226732368165,-0.9083987752954357,0.9083987752954357,-0.770826745392667,0.770826745392667
v__time__mean_abs,piecewise_rul_norm,fit,1185,-0.9248277177844821,0.9248277177844821,-0.9077558319053264,0.9077558319053264,-0.7691372178552447,0.7691372178552447
v__time__ptp,piecewise_rul_norm,fit,1185,-0.9365054267817294,0.9365054267817294,-0.9052118222997497,0.9052118222997497,-0.7603709327526222,0.7603709327526222
v__time__skewness,piecewise_rul_norm,fit,1185,-0.08396368190327402,0.08396368190327402,-0.07143919451003104,0.07143919451003104,-0.08023068167497961,0.08023068167497961
v__time__kurtosis,piecewise_rul_norm,fit,1185,-0.10161389782801984,0.10161389782801984,-0.18755526440886428,0.18755526440886428,-0.14856567593757103,0.14856567593757103
v__time__crest_factor,piecewise_rul_norm,fit,1185,0.059470985439816604,0.059470985439816604,-0.11260770844147559,0.11260770844147559,-0.08738929735644789,0.08738929735644789
v__time__impulse_factor,piecewise_rul_norm,fit,1185,0.052194478100040374,0.052194478100040374,-0.12299385636440212,0.12299385636440212,-0.09435607425378656,0.09435607425378656
v__time__clearance_factor,piecewise_rul_norm,fit,1185,0.050373706235883275,0.050373706235883275,-0.12668355611523585,0.12668355611523585,-0.09661438695818958,0.09661438695818958
mag__time__mean,piecewise_rul_norm,fit,1185,-0.9342472420714749,0.9342472420714749,-0.911716042905834,0.911716042905834,-0.7813644161489798,0.7813644161489798
mag__time__std,piecewise_rul_norm,fit,1185,-0.9389226249930192,0.9389226249930192,-0.9119515491642806,0.9119515491642806,-0.7810783407691374,0.7810783407691374
mag__time__rms,piecewise_rul_norm,fit,1185,-0.9360755613369582,0.9360755613369582,-0.912073740014204,0.912073740014204,-0.7821418680636103,0.7821418680636103
mag__time__mean_abs,piecewise_rul_norm,fit,1185,-0.9342472420714749,0.9342472420714749,-0.911716042905834,0.911716042905834,-0.7813644161489798,0.7813644161489798
mag__time__ptp,piecewise_rul_norm,fit,1185,-0.9322086044200395,0.9322086044200395,-0.9046629459366518,0.9046629459366518,-0.7572095573121683,0.7572095573121683
mag__time__skewness,piecewise_rul_norm,fit,1185,-0.38252375868057104,0.38252375868057104,-0.5953917400839414,0.5953917400839414,-0.4245543744460071,0.4245543744460071
mag__time__kurtosis,piecewise_rul_norm,fit,1185,-0.21839601452135185,0.21839601452135185,-0.5441959214394522,0.5441959214394522,-0.3806737767708856,0.3806737767708856
mag__time__crest_factor,piecewise_rul_norm,fit,1185,-0.047630187867192766,0.047630187867192766,-0.3326193550674543,0.3326193550674543,-0.2243857483739215,0.2243857483739215
mag__time__impulse_factor,piecewise_rul_norm,fit,1185,-0.06698569653080658,0.06698569653080658,-0.35960218724885323,0.35960218724885323,-0.24218973377823141,0.24218973377823141
mag__time__clearance_factor,piecewise_rul_norm,fit,1185,-0.07563057448214336,0.07563057448214336,-0.3710906970689484,0.3710906970689484,-0.24922382252965067,0.24922382252965067
h__spectral__centroid,piecewise_rul_norm,fit,1185,0.4315608450260409,0.4315608450260409,0.3777733724648526,0.3777733724648526,0.21174121658488704,0.21174121658488704
h__spectral__bandwidth,piecewise_rul_norm,fit,1185,0.546482981878604,0.546482981878604,0.35790300374630685,0.35790300374630685,0.18984803604518266,0.18984803604518266
h__spectral__rms_frequency,piecewise_rul_norm,fit,1185,0.48187591876878616,0.48187591876878616,0.37379053280480184,0.37379053280480184,0.20715727932200045,0.20715727932200045
h__spectral__peak_frequency,piecewise_rul_norm,fit,1185,-0.037072124791983255,0.037072124791983255,-0.07144188885340921,0.07144188885340921,-0.06521608657038981,0.06521608657038981
h__spectral__entropy,piecewise_rul_norm,fit,1185,0.4808675836472229,0.4808675836472229,0.4129910417992245,0.4129910417992245,0.2563555134694867,0.2563555134694867
v__spectral__centroid,piecewise_rul_norm,fit,1185,0.3916910842427445,0.3916910842427445,0.31953216272141444,0.31953216272141444,0.19215346704744207,0.19215346704744207
v__spectral__bandwidth,piecewise_rul_norm,fit,1185,0.5211400186913044,0.5211400186913044,0.363044047437258,0.363044047437258,0.22544927566839448,0.22544927566839448
v__spectral__rms_frequency,piecewise_rul_norm,fit,1185,0.48052007218235543,0.48052007218235543,0.35375338480242896,0.35375338480242896,0.21808535883198046,0.21808535883198046
v__spectral__peak_frequency,piecewise_rul_norm,fit,1185,-0.22703162067259636,0.22703162067259636,-0.23370202537282284,0.23370202537282284,-0.17495682060276246,0.17495682060276246
v__spectral__entropy,piecewise_rul_norm,fit,1185,0.4544827285902795,0.4544827285902795,0.48647741612921824,0.48647741612921824,0.3475092262653903,0.3475092262653903
mag__spectral__centroid,piecewise_rul_norm,fit,1185,0.6239585577628037,0.6239585577628037,0.5421148749065553,0.5421148749065553,0.3684768688114869,0.3684768688114869
mag__spectral__bandwidth,piecewise_rul_norm,fit,1185,0.6414342746791973,0.6414342746791973,0.4706068986593754,0.4706068986593754,0.31184067478809796,0.31184067478809796
mag__spectral__rms_frequency,piecewise_rul_norm,fit,1185,0.6480691888231441,0.6480691888231441,0.5249332055723125,0.5249332055723125,0.3565424770830024,0.3565424770830024
mag__spectral__peak_frequency,piecewise_rul_norm,fit,1185,0.03264963143042516,0.03264963143042516,-0.3274330622102201,0.3274330622102201,-0.21849445448070492,0.21849445448070492
