rank,feature,importance
1,h__time__rms,0.5264235734939575
2,h__time__std,0.26397833228111267
3,v__time__mean_abs,0.06693438440561295
4,h__time__mean_abs,0.0507977157831192
5,mag__time__mean_abs,0.04140795022249222
6,mag__time__mean,0.029827523976564407
7,mag__time__std,0.020630382001399994
