feature_name,feature_set_config,dataset_name,condition_name,target_name,score,p_value,correlation,selected,feature_group,interpretation,selection_split,selection_scope,feature_grain,train_bearings,held_out_bearing,overlaps_manual_19
"horizontal__fft_coefficient__attr_""abs""__coeff_45",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.12130946738367757,0.009675664590292487,-0.12130946738367757,False,frequency,"horizontal channel fft coefficient  attr ""abs""  coeff 45 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__longest_strike_above_mean,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.12129909927941934,0.00968192231276633,0.12129909927941934,False,time_domain,horizontal channel longest strike above mean statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"vertical__fft_coefficient__attr_""imag""__coeff_4",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.12080646424786567,0.00998343005422537,0.12080646424786567,False,frequency,"vertical channel fft coefficient  attr ""imag""  coeff 4 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__energy_ratio_by_chunks__num_segments_10__segment_focus_2,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.12063082420556814,0.010092925953341362,0.12063082420556814,False,energy,horizontal channel energy ratio by chunks  num segments 10  segment focus 2 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__index_mass_quantile__q_0.6,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.1197094483295418,0.010684964525367635,-0.1197094483295418,False,time_domain,vertical channel index mass quantile  q 0.6 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.1194815796021732,0.010836049181431995,0.1194815796021732,False,time_domain,"vertical channel agg linear trend  attr ""stderr""  chunk len 5  f agg ""min"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__skewness,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11909642745221005,0.011095724512589902,0.11909642745221005,False,distribution,horizontal channel skewness statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"vertical__fft_coefficient__attr_""imag""__coeff_94",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11871972706199403,0.011355015849830084,-0.11871972706199403,False,frequency,"vertical channel fft coefficient  attr ""imag""  coeff 94 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__fft_coefficient__attr_""abs""__coeff_9",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11858387150456962,0.011449835433554796,0.11858387150456962,False,frequency,"horizontal channel fft coefficient  attr ""abs""  coeff 9 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__agg_linear_trend__attr_""rvalue""__chunk_len_50__f_agg_""max""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11786641332668989,0.011962289994807999,-0.11786641332668989,False,time_domain,"horizontal channel agg linear trend  attr ""rvalue""  chunk len 50  f agg ""max"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__longest_strike_above_mean,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.1178475914798846,0.011976002314496406,0.1178475914798846,False,time_domain,vertical channel longest strike above mean statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"horizontal__fft_coefficient__attr_""abs""__coeff_67",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11756719663502427,0.012181929812710032,-0.11756719663502427,False,frequency,"horizontal channel fft coefficient  attr ""abs""  coeff 67 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11742010824239629,0.01229119996102981,0.11742010824239629,False,time_domain,"horizontal channel change quantiles  f agg ""var""  isabs True  qh 0.4  ql 0.2 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_98",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11722325855118916,0.012438790879995412,-0.11722325855118916,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 98 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__skewness,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11715223387813764,0.012492425435752066,0.11715223387813764,False,distribution,vertical channel skewness statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"horizontal__fft_coefficient__attr_""angle""__coeff_51",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11625388342543924,0.013188645714211139,0.11625388342543924,False,frequency,"horizontal channel fft coefficient  attr ""angle""  coeff 51 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11609628737458112,0.01331424651073743,0.11609628737458112,False,time_domain,"vertical channel agg linear trend  attr ""intercept""  chunk len 50  f agg ""max"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11601268273435131,0.013381304546456108,0.11601268273435131,False,time_domain,"horizontal channel change quantiles  f agg ""var""  isabs True  qh 0.6  ql 0.2 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""angle""__coeff_94",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11600131613031485,0.01339044446603399,-0.11600131613031485,False,frequency,"vertical channel fft coefficient  attr ""angle""  coeff 94 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.0",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11580294538702768,0.013550842766569603,-0.11580294538702768,False,time_domain,"vertical channel change quantiles  f agg ""mean""  isabs False  qh 0.8  ql 0.0 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"vertical__fft_coefficient__attr_""abs""__coeff_21",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11573839580554074,0.013603399769078496,-0.11573839580554074,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 21 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__ratio_value_number_to_time_series_length,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.11515763715579112,0.014084389136458365,-0.11515763715579112,False,shape,horizontal channel ratio value number to time series length statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
