feature_name,feature_set_config,dataset_name,condition_name,target_name,score,p_value,correlation,selected,feature_group,interpretation,selection_split,selection_scope,feature_grain,train_bearings,held_out_bearing,overlaps_manual_19
vertical__maximum,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.20099398483833752,1.596460411218523e-05,0.20099398483833752,True,time_domain,vertical channel maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__absolute_maximum,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.12594433545960798,0.007213169748093983,0.12594433545960798,True,energy,vertical channel absolute maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__maximum,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.04193677519249295,0.3726677970150667,0.04193677519249295,True,time_domain,horizontal channel maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__minimum,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.040403679987257184,0.3904123568379125,0.040403679987257184,True,time_domain,horizontal channel minimum statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__minimum,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.035981716425469185,0.4443867902016859,-0.035981716425469185,True,time_domain,vertical channel minimum statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__absolute_maximum,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.03539192754389322,0.4518933103834701,0.03539192754389322,True,energy,horizontal channel absolute maximum statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__median,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.031177327916756724,0.5075652003240807,-0.031177327916756724,True,time_domain,vertical channel median statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__median,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0272192903267348,0.5629419478454442,-0.0272192903267348,True,time_domain,horizontal channel median statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__length,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,shape,vertical channel length statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__root_mean_square,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,energy,vertical channel root mean square statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
vertical__variance,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,vertical channel variance statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
vertical__standard_deviation,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,vertical channel standard deviation statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__sum_values,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,horizontal channel sum values statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__mean,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,vertical channel mean statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__root_mean_square,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,energy,horizontal channel root mean square statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__variance,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,horizontal channel variance statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__standard_deviation,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,distribution,horizontal channel standard deviation statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__length,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,shape,horizontal channel length statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__mean,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,horizontal channel mean statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
vertical__sum_values,MinimalFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.0,1.0,0.0,False,time_domain,vertical channel sum values statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__partial_autocorrelation__lag_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.424468234213857,2.7747482527749358e-21,0.424468234213857,True,time_domain,horizontal channel partial autocorrelation  lag 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__autocorrelation__lag_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.42446823421385693,2.7747482527749358e-21,0.42446823421385693,True,time_domain,horizontal channel autocorrelation  lag 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.42150133421321,5.574785071518923e-21,-0.42150133421321,True,time_domain,"horizontal channel change quantiles  f agg ""var""  isabs False  qh 1.0  ql 0.0 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__cid_ce__normalize_True,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.4152512794758147,2.370197559999447e-20,-0.4152512794758147,True,time_domain,horizontal channel cid ce  normalize True statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__cid_ce__normalize_False,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.4152512794758146,2.3701975599995592e-20,-0.4152512794758146,True,time_domain,horizontal channel cid ce  normalize False statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.4131819375830164,3.8019878657982037e-20,-0.4131819375830164,True,time_domain,"horizontal channel change quantiles  f agg ""mean""  isabs True  qh 1.0  ql 0.0 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__mean_abs_change,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.4131819375830164,3.8019878657982037e-20,-0.4131819375830164,True,time_domain,horizontal channel mean abs change statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__absolute_sum_of_changes,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.41318193758301625,3.801987865798293e-20,-0.41318193758301625,True,energy,horizontal channel absolute sum of changes statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__ar_coefficient__coeff_8__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.41283722995608796,4.1120529320793924e-20,0.41283722995608796,True,time_domain,vertical channel ar coefficient  coeff 8  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__number_crossing_m__m_0,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.40345197001616406,3.357850382183681e-19,-0.40345197001616406,True,time_domain,horizontal channel number crossing m  m 0 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__partial_autocorrelation__lag_8,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.390024707350065,6.046681200352858e-18,0.390024707350065,True,time_domain,vertical channel partial autocorrelation  lag 8 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__ar_coefficient__coeff_1__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.38153365967528186,3.5178454255862387e-17,0.38153365967528186,True,time_domain,horizontal channel ar coefficient  coeff 1  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_44",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3773276470215873,8.258789091688106e-17,0.3773276470215873,True,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 44 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__fft_aggregated__aggtype_""skew""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.37217693355898346,2.309566224691098e-16,0.37217693355898346,True,frequency,"horizontal channel fft aggregated  aggtype ""skew"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__fft_aggregated__aggtype_""centroid""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3662695863034678,7.34539481541092e-16,-0.3662695863034678,True,frequency,"horizontal channel fft aggregated  aggtype ""centroid"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__autocorrelation__lag_7,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3644421501500175,1.0456198846834935e-15,0.3644421501500175,True,time_domain,horizontal channel autocorrelation  lag 7 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__number_peaks__n_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.36421555839043684,1.0922479443142049e-15,-0.36421555839043684,True,time_domain,horizontal channel number peaks  n 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__friedrich_coefficients__coeff_2__m_3__r_30,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.36337523355137,1.283681751332031e-15,0.36337523355137,True,time_domain,horizontal channel friedrich coefficients  coeff 2  m 3  r 30 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__autocorrelation__lag_9,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.35064359084530494,1.3998744848067317e-14,0.35064359084530494,True,time_domain,horizontal channel autocorrelation  lag 9 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__ar_coefficient__coeff_6__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3481331536819597,2.2142433090051162e-14,0.3481331536819597,True,time_domain,vertical channel ar coefficient  coeff 6  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__permutation_entropy__dimension_4__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3463462301763091,3.06117176575734e-14,0.3463462301763091,True,time_domain,vertical channel permutation entropy  dimension 4  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__permutation_entropy__dimension_6__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.34414043440007086,4.552893026363163e-14,0.34414043440007086,True,time_domain,vertical channel permutation entropy  dimension 6  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__partial_autocorrelation__lag_7,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3429114645904873,5.672194239232826e-14,0.3429114645904873,True,time_domain,horizontal channel partial autocorrelation  lag 7 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__permutation_entropy__dimension_7__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.33622306531986024,1.84480022503564e-13,0.33622306531986024,True,time_domain,vertical channel permutation entropy  dimension 7  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__partial_autocorrelation__lag_6,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3331928406459496,3.1185619815892797e-13,0.3331928406459496,True,time_domain,vertical channel partial autocorrelation  lag 6 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__ar_coefficient__coeff_7__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3289391880098304,6.453531678653168e-13,0.3289391880098304,True,time_domain,horizontal channel ar coefficient  coeff 7  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__permutation_entropy__dimension_5__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3280330256248644,7.524010356480454e-13,0.3280330256248644,True,time_domain,vertical channel permutation entropy  dimension 5  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__agg_autocorrelation__f_agg_""var""__maxlag_40",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.31264036074349083,9.444815980446495e-12,-0.31264036074349083,True,time_domain,"horizontal channel agg autocorrelation  f agg ""var""  maxlag 40 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__agg_autocorrelation__f_agg_""var""__maxlag_40",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.30921260285588836,1.6270012163674163e-11,-0.30921260285588836,True,time_domain,"vertical channel agg autocorrelation  f agg ""var""  maxlag 40 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__permutation_entropy__dimension_3__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.30728414830728396,2.2025814958315278e-11,0.30728414830728396,True,time_domain,vertical channel permutation entropy  dimension 3  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3059024811799148,2.7326782906950526e-11,-0.3059024811799148,True,time_domain,"horizontal channel change quantiles  f agg ""var""  isabs True  qh 1.0  ql 0.0 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__autocorrelation__lag_9,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.3058815763094954,2.7415853608736712e-11,0.3058815763094954,True,time_domain,vertical channel autocorrelation  lag 9 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__fourier_entropy__bins_100,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2955083735173485,1.3350860571194673e-10,0.2955083735173485,False,time_domain,vertical channel fourier entropy  bins 100 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.0",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.27938643651527273,1.3817267856105035e-09,-0.27938643651527273,False,time_domain,"horizontal channel change quantiles  f agg ""var""  isabs False  qh 0.8  ql 0.0 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__ar_coefficient__coeff_9__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.27413349702436524,2.866172040773038e-09,0.27413349702436524,False,time_domain,horizontal channel ar coefficient  coeff 9  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__permutation_entropy__dimension_4__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.27231063571808606,3.6787683416701163e-09,0.27231063571808606,False,time_domain,horizontal channel permutation entropy  dimension 4  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2708560713960273,4.483596836962123e-09,-0.2708560713960273,False,time_domain,"horizontal channel change quantiles  f agg ""var""  isabs True  qh 0.8  ql 0.0 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__fft_coefficient__attr_""abs""__coeff_90",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.27079872764310997,4.51859628125306e-09,0.27079872764310997,False,frequency,"vertical channel fft coefficient  attr ""abs""  coeff 90 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""max""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2667566055064921,7.781419764614914e-09,0.2667566055064921,False,time_domain,"vertical channel agg linear trend  attr ""stderr""  chunk len 5  f agg ""max"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__fft_coefficient__attr_""abs""__coeff_32",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.26522880530928566,9.533758123969891e-09,0.26522880530928566,False,frequency,"horizontal channel fft coefficient  attr ""abs""  coeff 32 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"vertical__agg_linear_trend__attr_""stderr""__chunk_len_10__f_agg_""max""",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.26184290685912726,1.4885636040631391e-08,0.26184290685912726,False,time_domain,"vertical channel agg linear trend  attr ""stderr""  chunk len 10  f agg ""max"" statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__c3__lag_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2609491822138603,1.6725947377350776e-08,-0.2609491822138603,False,time_domain,vertical channel c3  lag 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__ar_coefficient__coeff_9__k_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2580047575532635,2.448160572668069e-08,0.2580047575532635,False,time_domain,vertical channel ar coefficient  coeff 9  k 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__quantile__q_0.7,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2575097699258795,2.6088758769301348e-08,-0.2575097699258795,False,time_domain,vertical channel quantile  q 0.7 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__partial_autocorrelation__lag_9,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2546704222050437,3.7474952292821025e-08,0.2546704222050437,False,time_domain,horizontal channel partial autocorrelation  lag 9 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__mean_n_absolute_max__number_of_maxima_7,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.252628238718471,4.8495925263021854e-08,0.252628238718471,False,energy,vertical channel mean n absolute max  number of maxima 7 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
horizontal__permutation_entropy__dimension_5__tau_1,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.25171782112347274,5.436341498900603e-08,0.25171782112347274,False,time_domain,horizontal channel permutation entropy  dimension 5  tau 1 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__fft_coefficient__attr_""abs""__coeff_30",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2516729603130134,5.466959595765988e-08,0.2516729603130134,False,frequency,"horizontal channel fft coefficient  attr ""abs""  coeff 30 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
"horizontal__fft_coefficient__attr_""abs""__coeff_35",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2487421991493058,7.87197956524865e-08,0.2487421991493058,False,frequency,"horizontal channel fft coefficient  attr ""abs""  coeff 35 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
vertical__partial_autocorrelation__lag_9,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.2484027634163501,8.209070752134162e-08,0.2484027634163501,False,time_domain,vertical channel partial autocorrelation  lag 9 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,False
horizontal__number_peaks__n_10,EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.24671534404400075,1.0102436583724947e-07,-0.24671534404400075,False,time_domain,horizontal channel number peaks  n 10 statistic; selected on train bearings only to avoid held-out leakage.,train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
"vertical__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8",EfficientFCParameters,XJTU-SY,condition_1_35Hz12kN,rul,0.24654221740652082,1.0318972247600411e-07,0.24654221740652082,False,time_domain,"vertical channel change quantiles  f agg ""mean""  isabs True  qh 1.0  ql 0.8 statistic; selected on train bearings only to avoid held-out leakage.",train_only,train_bearings_only,single_snapshot,"Bearing1_1,Bearing1_2,Bearing1_4,Bearing1_5",Bearing1_3,True
