paper,dataset_name,condition_name,model_name,paper_metric_name,local_metric_name,paper_value,local_value,abs_relative_gap_pct,within_threshold
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_1,LSTM-Transformer,score,phm2012_score,17.994,324.53975685469754,1703.5998491424782,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_1,XLSTM-Transformer,rmse,normalized_rmse,0.0565,0.187602380062685,232.039610730416,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_1,XLSTM-Transformer,r2,r2,0.9706,0.5870104591751313,39.52086758962175,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_1,XLSTM-Transformer,score,phm2012_score,10.1616,177.51880357333675,1646.9572072639817,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,Feature-Transformer,rmse,normalized_rmse,0.0675,0.4366979101169843,546.9598668399767,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,Feature-Transformer,r2,r2,0.6281,-1.239228252744658,297.2979227423432,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,Feature-Transformer,score,phm2012_score,4.5328,1608.981800413953,35396.421646972136,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,LSTM-Transformer,rmse,normalized_rmse,0.0856,0.4894575996101998,471.796261226869,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,LSTM-Transformer,r2,r2,0.4021,-1.8129777045599045,550.8773202088794,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,LSTM-Transformer,score,phm2012_score,8.0399,3021.179371332294,37477.32523205878,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,XLSTM-Transformer,rmse,normalized_rmse,0.0651,0.3741700935809881,474.7620485115025,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,XLSTM-Transformer,r2,r2,0.6539,-0.6438957893728092,198.47007025123247,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_2,XLSTM-Transformer,score,phm2012_score,4.1367,507.972552635357,12179.65655317903,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,Feature-Transformer,rmse,normalized_rmse,0.1376,0.0836470810639823,39.209970156989584,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,Feature-Transformer,r2,r2,0.8284,0.9178271809833722,10.795169119190271,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,Feature-Transformer,score,phm2012_score,3.6868,56.87742721799687,1442.731561733668,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,LSTM-Transformer,rmse,normalized_rmse,0.1335,0.1481975713957909,11.009416775873328,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,LSTM-Transformer,r2,r2,0.8384,0.742065889958511,11.490232590826462,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,LSTM-Transformer,score,phm2012_score,3.6223,130.13248747348405,3492.5375444740644,False
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,XLSTM-Transformer,rmse,normalized_rmse,0.1211,0.1076301880901141,11.122883492886766,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,XLSTM-Transformer,r2,r2,0.8671,0.8639511723999372,0.3631446892011005,True
Jiang et al. 2026 xLSTM-Transformer,PHM2012,condition_3,XLSTM-Transformer,score,phm2012_score,3.4079,88.10091855180987,2485.1967062358012,False
