experiment_name,feature_backend,feature_input,feature_set_config,model_name,dataset_name,condition_name,split_name,seed,run_count,rmse,normalized_rmse,mae,r2,huang_rul_score,phm2012_score,prediction_count,feature_count,selection_split,selection_scope,status,rmse_mean,rmse_std,normalized_rmse_mean,normalized_rmse_std,mae_mean,mae_std,r2_mean,r2_std,huang_rul_score_mean,huang_rul_score_std,phm2012_score_mean,phm2012_score_std
XJTU-SY-condition_1_35Hz12kN-manual_19-RandomForestRegressor,manual_19,manual_19,manual_19,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,0,3,53.79304903611317,0.34482723741098187,45.96252788634755,-0.40880823982554815,3.5258591170408895,63301.65077914305,157,19,train_only,train_bearings_only,RUN_RECORDED,53.87689512242844,0.3332376201639121,0.3453647123232592,0.0021361385907943124,46.16422587191795,0.467675297489838,-0.41325748556214487,0.01750137395980745,3.50383978541234,0.02508125056655811,65588.0246233695,2092.8344402973066
XJTU-SY-condition_1_35Hz12kN-manual_19-RandomForestRegressor,manual_19,manual_19,manual_19,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,1,3,53.517198516420386,0.3430589648488486,45.71957626911747,-0.3943965613660896,3.4687476473215804,68358.88011588325,157,19,train_only,train_bearings_only,RUN_RECORDED,53.87689512242844,0.3332376201639121,0.3453647123232592,0.0021361385907943124,46.16422587191795,0.467675297489838,-0.41325748556214487,0.01750137395980745,3.50383978541234,0.02508125056655811,65588.0246233695,2092.8344402973066
XJTU-SY-condition_1_35Hz12kN-manual_19-RandomForestRegressor,manual_19,manual_19,manual_19,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,2,3,54.32043781475176,0.3482079347099472,46.81057346028882,-0.4365676554947968,3.516912591874551,65103.542975082215,157,19,train_only,train_bearings_only,RUN_RECORDED,53.87689512242844,0.3332376201639121,0.3453647123232592,0.0021361385907943124,46.16422587191795,0.467675297489838,-0.41325748556214487,0.01750137395980745,3.50383978541234,0.02508125056655811,65588.0246233695,2092.8344402973066
XJTU-SY-condition_1_35Hz12kN-tsfresh_minimal_selected-RandomForestRegressor,tsfresh_minimal_selected,tsfresh_selected,MinimalFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,0,3,49.18146634068512,0.3152658098761867,41.4460967415237,-0.17761277089578553,2.9426090898658037,50834.89412989847,157,8,train_only,train_bearings_only,RUN_RECORDED,49.238133222418746,0.04138576283741019,0.3156290591180689,0.0002652933515218519,41.71671794575779,0.2019969273498589,-0.1803288588169533,0.001983756812974521,2.9320463812111064,0.015927315714358556,46059.85484844898,3968.6345185220607
XJTU-SY-condition_1_35Hz12kN-tsfresh_minimal_selected-RandomForestRegressor,tsfresh_minimal_selected,tsfresh_selected,MinimalFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,1,3,49.279148162975744,0.3158919754036907,41.77279938119778,-0.18229525008204273,2.909535953542331,46226.613933288085,157,8,train_only,train_bearings_only,RUN_RECORDED,49.238133222418746,0.04138576283741019,0.3156290591180689,0.0002652933515218519,41.71671794575779,0.2019969273498589,-0.1803288588169533,0.001983756812974521,2.9320463812111064,0.015927315714358556,46059.85484844898,3968.6345185220607
XJTU-SY-condition_1_35Hz12kN-tsfresh_minimal_selected-RandomForestRegressor,tsfresh_minimal_selected,tsfresh_selected,MinimalFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,2,3,49.25378516359536,0.3157293920743292,41.931257714551904,-0.18107855547303164,2.9439941002251846,41118.056482160406,157,8,train_only,train_bearings_only,RUN_RECORDED,49.238133222418746,0.04138576283741019,0.3156290591180689,0.0002652933515218519,41.71671794575779,0.2019969273498589,-0.1803288588169533,0.001983756812974521,2.9320463812111064,0.015927315714358556,46059.85484844898,3968.6345185220607
XJTU-SY-condition_1_35Hz12kN-manual_19_plus_tsfresh_minimal_selected-RandomForestRegressor,manual_19_plus_tsfresh_minimal_selected,manual_19_plus_tsfresh_selected,MinimalFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,0,3,52.28666348142294,0.3351709197527112,44.65446905359325,-0.3310103106229636,3.359409007209171,52663.83816301691,157,27,train_only,train_bearings_only,RUN_RECORDED,52.03305614481556,0.18063993888947585,0.33354523169753564,0.0011579483262145957,44.34426173175874,0.22326635172687798,-0.3181458435039193,0.009162647113548708,3.344131699165241,0.010904293128809616,48829.32680606467,3497.31598923667
XJTU-SY-condition_1_35Hz12kN-manual_19_plus_tsfresh_minimal_selected-RandomForestRegressor,manual_19_plus_tsfresh_minimal_selected,manual_19_plus_tsfresh_selected,MinimalFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,1,3,51.93287334045676,0.33290303423369716,44.138164357205966,-0.3130590717604307,3.334674169898335,49617.476953506164,157,27,train_only,train_bearings_only,RUN_RECORDED,52.03305614481556,0.18063993888947585,0.33354523169753564,0.0011579483262145957,44.34426173175874,0.22326635172687798,-0.3181458435039193,0.009162647113548708,3.344131699165241,0.010904293128809616,48829.32680606467,3497.31598923667
XJTU-SY-condition_1_35Hz12kN-manual_19_plus_tsfresh_minimal_selected-RandomForestRegressor,manual_19_plus_tsfresh_minimal_selected,manual_19_plus_tsfresh_selected,MinimalFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,2,3,51.879631612566975,0.33256174110619857,44.24015178447702,-0.31036814812836355,3.3383119203882163,44206.665301670946,157,27,train_only,train_bearings_only,RUN_RECORDED,52.03305614481556,0.18063993888947585,0.33354523169753564,0.0011579483262145957,44.34426173175874,0.22326635172687798,-0.3181458435039193,0.009162647113548708,3.344131699165241,0.010904293128809616,48829.32680606467,3497.31598923667
XJTU-SY-condition_1_35Hz12kN-tsfresh_efficient_selected-RandomForestRegressor,tsfresh_efficient_selected,tsfresh_selected,EfficientFCParameters,RandomForestRegressor,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,0,3,49.488028932180534,0.31723095469346496,42.059280384778,-0.1923393415736796,4.684409535572993,37109.05424254918,157,32,train_only,train_bearings_only,RUN_RECORDED,49.71445291468465,0.33067531793338056,0.31868239047874775,0.0021197135764960406,42.323457725557645,0.2636999462493887,-0.20332822530296366,0.016044737016255077,4.703835160679668,0.058820218630576945,37966.97243858854,730.7437200846832
