model_name,dataset_name,condition_name,split_name,seed,rmse,normalized_rmse,mae,r2,score,epoch,config_hash,config_path,run_count,status
XLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,202601,1293.639666550619,0.1456801411041449,1093.4897067939125,0.7487231844310274,5.453447284438402,43,7ee11220b98a7cc1,docs/reproduction-evidence/strict_repeated_seed_config.json,3,RUN_RECORDED
XLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,202602,1290.9167394792623,0.14537350517589662,1019.3778757947254,0.7497798749153637,1.7005596412521,48,7ee11220b98a7cc1,docs/reproduction-evidence/strict_repeated_seed_config.json,3,RUN_RECORDED
XLSTM-Transformer,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,202603,1598.1082153783434,0.17996713948698362,1309.605316377351,0.6165240427312697,2.2003115044632477,12,7ee11220b98a7cc1,docs/reproduction-evidence/strict_repeated_seed_config.json,3,RUN_RECORDED
Feature-Transformer,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,202601,1759.2452611922222,0.19811320301475377,1286.892991259619,0.5352937090188886,1.7438997430424308,5,7ee11220b98a7cc1,docs/reproduction-evidence/strict_repeated_seed_config.json,3,RUN_RECORDED
Feature-Transformer,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,202602,1579.359749957819,0.1778558258356089,1324.6983868459977,0.6254688848400343,1.9492115978852087,29,7ee11220b98a7cc1,docs/reproduction-evidence/strict_repeated_seed_config.json,3,RUN_RECORDED
Feature-Transformer,XJTU-SY,condition_1_35Hz12kN,train_Bearing1_1_1_2_1_4_1_5_test_Bearing1_3,202603,1634.7546944739065,0.18409399519777583,1293.5582160785943,0.5987352974781655,1.4910741043836186,6,7ee11220b98a7cc1,docs/reproduction-evidence/strict_repeated_seed_config.json,3,RUN_RECORDED
