experiment_id,dataset,split,task,task_type,feature_set,model,trainer,max_epochs,history_entries,last_epoch,best_epoch,num_examples,num_train_examples,num_val_examples,num_test_examples,num_features,target_columns,val_mae,val_rmse,val_accuracy,val_macro_f1,val_weighted_f1,val_loss,test_mae,test_rmse,test_accuracy,test_macro_f1,test_weighted_f1,test_loss,raw_run_dir
xjtu_main_rul_mlp_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,rul_tabular,regression,manual_basic compact_non_label_source,mlp,base,50,50,50,9,9216,7032,1679,505,7,piecewise_rul_norm,0.15317486680183226,0.28487269579836516,,,,0.08128363227256376,0.3396545272901433,0.4285912114514033,,,,0.19048943561028864,artifacts/baselines/runs/20260621-095716_xjtu_main_rul_mlp_compact_non_label_source_1fce0054
xjtu_main_health_mlp_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,multiclass_classification,manual_basic compact_non_label_source,mlp,base,50,50,50,11,9216,7032,1679,505,6,health_state_id,,,0.6664681357951161,0.25176276525765395,0.5548335028540462,2.1160333797607263,,,0.36237623762376237,0.30867516213292334,0.3711011190718926,6.571515962314152,artifacts/baselines/runs/20260621-100202_xjtu_main_health_mlp_compact_non_label_source_f9db9192
xjtu_main_early_mlp_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,early_fault_tabular,binary_classification,manual_basic compact_non_label_source,mlp,base,50,50,50,13,9216,7032,1679,505,5,early_fault,,,0.7170935080405003,0.5576621332385272,0.641964635985999,0.9791955624197033,,,0.8514851485148515,0.8263896846824135,0.8416822329553054,5.395760671292003,artifacts/baselines/runs/20260621-100645_xjtu_main_early_mlp_compact_non_label_source_4750af38
phm_official_rul_mlp_compact_non_label_source,PHM2012,phm2012_official,rul_tabular,regression,manual_basic compact_non_label_source,mlp,base,50,50,50,50,24889,7534,4330,13025,7,piecewise_rul_norm,0.2612711172422134,0.3698238033904818,,,,0.13769487915620743,0.2779136140550904,0.3924750218026824,,,,0.15401525478981481,artifacts/baselines/runs/20260621-101138_phm_official_rul_mlp_compact_non_label_source_42d12fa7
phm_official_health_mlp_compact_non_label_source,PHM2012,phm2012_official,health_state_tabular,multiclass_classification,manual_basic compact_non_label_source,mlp,base,50,50,50,1,24889,7534,4330,13025,5,health_state_id,,,0.2750577367205543,0.2685750831827648,0.25895300817032374,2.3297623706280466,,,0.4328598848368522,0.2957584909447099,0.4067245716520877,1.7897568353988513,artifacts/baselines/runs/20260621-101716_phm_official_health_mlp_compact_non_label_source_2e7f27ff
phm_official_early_mlp_compact_non_label_source,PHM2012,phm2012_official,early_fault_tabular,binary_classification,manual_basic compact_non_label_source,mlp,base,50,50,50,1,24889,7534,4330,13025,7,early_fault,,,0.420554272517321,0.4090168159224278,0.4299558693789447,1.3672565924533457,,,0.672552783109405,0.6640848944568983,0.6645557876846732,0.8101839638481075,artifacts/baselines/runs/20260621-102318_phm_official_early_mlp_compact_non_label_source_6ddffda7
