dataset,task,non_reference_experiment_id,with_reference_experiment_id,primary_metric,metric_direction,non_reference_val,with_reference_val,non_reference_test,with_reference_test,reference_effect_val,reference_effect_test,interpretation,caveat
XJTU-SY,rul_tabular,xjtu_main_rul_mlp_compact_non_label_source,xjtu_main_rul_mlp_compact_with_reference,RMSE,lower_is_better,0.28487269579836516,0.28907587570512255,0.4285912114514033,0.4689084477053923,-0.004203179906757393,-0.04031723625398903,Reference worsened test RMSE in this run,Reference feature is HI/FPT label source
XJTU-SY,health_state_tabular,xjtu_main_health_mlp_compact_non_label_source,xjtu_main_health_mlp_compact_with_reference,WeightedF1,higher_is_better,0.5548335028540462,0.5708064830632816,0.3711011190718926,0.368269487207346,0.015972980209235432,-0.002831631864546602,Validation improved slightly while test WeightedF1 decreased slightly,Reference feature is HI/FPT label source
XJTU-SY,early_fault_tabular,xjtu_main_early_mlp_compact_non_label_source,xjtu_main_early_mlp_compact_with_reference,WeightedF1,higher_is_better,0.641964635985999,0.6398188170490574,0.8416822329553054,0.8416822329553054,-0.002145818936941546,0.0,No meaningful test change,Reference feature is HI/FPT label source
PHM2012,rul_tabular,phm_official_rul_mlp_compact_non_label_source,phm_official_rul_mlp_compact_with_reference,RMSE,lower_is_better,0.3698238033904818,0.3548010117510944,0.3924750218026824,0.36084950191066717,0.015022791639387412,0.03162551989201523,Reference improved RMSE on validation and test,Reference feature is HI/FPT label source
PHM2012,health_state_tabular,phm_official_health_mlp_compact_non_label_source,phm_official_health_mlp_compact_with_reference,WeightedF1,higher_is_better,0.25895300817032374,0.20976372558556625,0.4067245716520877,0.41733733705109277,-0.04918928258475749,0.010612765399005075,Validation worsened while test WeightedF1 improved slightly,Reference feature is HI/FPT label source
PHM2012,early_fault_tabular,phm_official_early_mlp_compact_non_label_source,phm_official_early_mlp_compact_with_reference,WeightedF1,higher_is_better,0.4299558693789447,0.43448141944877844,0.6645557876846732,0.6723498373708364,0.004525550069833739,0.0077940496861632624,Reference improved WeightedF1 slightly,Reference feature is HI/FPT label source
