dataset,task,primary_metric,metric_direction,compact_non_reference_experiment_id,full_non_reference_experiment_id,compact_reference_experiment_id,full_reference_experiment_id,compact_non_reference_test,full_non_reference_test,compact_reference_test,full_reference_test,full_non_reference_effect,full_reference_effect,interpretation,caveat
XJTU-SY,rul_tabular,RMSE,lower_is_better,xjtu_main_rul_mlp_compact_non_label_source,xjtu_main_rul_mlp_full_manual_basic_no_reference,xjtu_main_rul_mlp_compact_with_reference,xjtu_main_rul_mlp_full_manual_basic,0.4285912114514033,0.4216453132580611,0.4689084477053923,0.44069340704404186,0.0069458981933421815,0.028215040661350443,Full features improved both non-reference and reference comparisons.,full_manual_basic includes mag__time__rms; HealthState/EarlyFault gains may reflect label-source shortcut.
XJTU-SY,health_state_tabular,WeightedF1,higher_is_better,xjtu_main_health_mlp_compact_non_label_source,xjtu_main_health_mlp_full_manual_basic_no_reference,xjtu_main_health_mlp_compact_with_reference,xjtu_main_health_mlp_full_manual_basic,0.3711011190718926,0.2276959576869329,0.368269487207346,0.21317684187482824,-0.14340516138495968,-0.15509264533251774,Full features did not improve test primary metrics in either comparison.,full_manual_basic includes mag__time__rms; HealthState/EarlyFault gains may reflect label-source shortcut.
XJTU-SY,early_fault_tabular,WeightedF1,higher_is_better,xjtu_main_early_mlp_compact_non_label_source,xjtu_main_early_mlp_full_manual_basic_no_reference,xjtu_main_early_mlp_compact_with_reference,xjtu_main_early_mlp_full_manual_basic,0.8416822329553054,0.5761178031824146,0.8416822329553054,0.5774942019215468,-0.26556442977289085,-0.26418803103375865,Full features did not improve test primary metrics in either comparison.,full_manual_basic includes mag__time__rms; HealthState/EarlyFault gains may reflect label-source shortcut.
PHM2012,rul_tabular,RMSE,lower_is_better,phm_official_rul_mlp_compact_non_label_source,phm_official_rul_mlp_full_manual_basic_no_reference,phm_official_rul_mlp_compact_with_reference,phm_official_rul_mlp_full_manual_basic,0.3924750218026824,0.40861898924082946,0.36084950191066717,0.3349451301827328,-0.016143967438147055,0.02590437172793436,"Full reference improved, while full non-reference did not improve over compact non-reference.",full_manual_basic includes mag__time__rms; HealthState/EarlyFault gains may reflect label-source shortcut.
PHM2012,health_state_tabular,WeightedF1,higher_is_better,phm_official_health_mlp_compact_non_label_source,phm_official_health_mlp_full_manual_basic_no_reference,phm_official_health_mlp_compact_with_reference,phm_official_health_mlp_full_manual_basic,0.4067245716520877,0.3390130994151545,0.41733733705109277,0.3043057355161675,-0.06771147223693319,-0.11303160153492525,Full features did not improve test primary metrics in either comparison.,full_manual_basic includes mag__time__rms; HealthState/EarlyFault gains may reflect label-source shortcut.
PHM2012,early_fault_tabular,WeightedF1,higher_is_better,phm_official_early_mlp_compact_non_label_source,phm_official_early_mlp_full_manual_basic_no_reference,phm_official_early_mlp_compact_with_reference,phm_official_early_mlp_full_manual_basic,0.6645557876846732,0.47249480154306256,0.6723498373708364,0.4872088459427468,-0.1920609861416106,-0.1851409914280896,Full features did not improve test primary metrics in either comparison.,full_manual_basic includes mag__time__rms; HealthState/EarlyFault gains may reflect label-source shortcut.
