dataset,task,primary_metric,metric_direction,best_experiment_id,best_feature_subset,label_source_included,best_test_primary,best_val_primary,runner_up_experiment_id,runner_up_feature_subset,runner_up_test_primary,test_gap_to_runner_up,decision,caveat
XJTU-SY,rul_tabular,RMSE,lower_is_better,xjtu_main_rul_mlp_full_manual_basic_no_reference,full_manual_basic_no_reference,no,0.4216453132580611,0.3395049303485408,xjtu_main_rul_mlp_compact_non_label_source,compact_non_label_source,0.4285912114514033,0.0069458981933421815,use best non-reference subset as the main independent baseline.,MLP-only main-split result; HealthState/EarlyFault labels are pseudo labels derived from the HI/FPT pipeline.
XJTU-SY,health_state_tabular,WeightedF1,higher_is_better,xjtu_main_health_mlp_compact_non_label_source,compact_non_label_source,no,0.3711011190718926,0.5548335028540462,xjtu_main_health_mlp_compact_with_reference,compact_with_reference,0.368269487207346,0.002831631864546602,use best non-reference subset as the main independent baseline.,MLP-only main-split result; HealthState/EarlyFault labels are pseudo labels derived from the HI/FPT pipeline.
XJTU-SY,early_fault_tabular,WeightedF1,higher_is_better,xjtu_main_early_mlp_compact_non_label_source,compact_non_label_source,no,0.8416822329553054,0.641964635985999,xjtu_main_early_mlp_compact_with_reference,compact_with_reference,0.8416822329553054,0.0,use best non-reference subset as the main independent baseline.,MLP-only main-split result; HealthState/EarlyFault labels are pseudo labels derived from the HI/FPT pipeline.
PHM2012,rul_tabular,RMSE,lower_is_better,phm_official_rul_mlp_full_manual_basic,full_manual_basic,yes,0.3349451301827328,0.4210585311739698,phm_official_rul_mlp_compact_with_reference,compact_with_reference,0.36084950191066717,0.02590437172793436,best metric includes reference feature; independent conclusion should compare non-reference candidate.,"Reference subset contains mag__time__rms, which is also the HI/FPT label-source feature; treat it as sanity/reference, not independent evidence."
PHM2012,health_state_tabular,WeightedF1,higher_is_better,phm_official_health_mlp_compact_with_reference,compact_with_reference,yes,0.41733733705109277,0.20976372558556625,phm_official_health_mlp_compact_non_label_source,compact_non_label_source,0.4067245716520877,0.010612765399005075,best metric includes reference feature; independent conclusion should compare non-reference candidate.,"Reference subset contains mag__time__rms, which is also the HI/FPT label-source feature; treat it as sanity/reference, not independent evidence."
PHM2012,early_fault_tabular,WeightedF1,higher_is_better,phm_official_early_mlp_compact_with_reference,compact_with_reference,yes,0.6723498373708364,0.43448141944877844,phm_official_early_mlp_compact_non_label_source,compact_non_label_source,0.6645557876846732,0.0077940496861632624,best metric includes reference feature; independent conclusion should compare non-reference candidate.,"Reference subset contains mag__time__rms, which is also the HI/FPT label-source feature; treat it as sanity/reference, not independent evidence."
