task,main_split_experiment_id,cross_condition_experiment_id,primary_metric,metric_direction,main_test_primary,cross_test_primary,cross_condition_gap,interpretation,caveat
rul_tabular,xjtu_main_rul_mlp_full_manual_basic_no_reference,xjtu_cross_rul_mlp_full_manual_basic_no_reference,RMSE,lower_is_better,0.4216453132580611,0.18246257354785367,-0.23918273971020743,Cross-condition RMSE is lower than the main split reference in this run.,"This run trains on 35Hz12kN, validates on 37.5Hz11kN, and tests on 40Hz10kN. Results measure condition-shift robustness, not ordinary same-condition bearing generalization."
health_state_tabular,xjtu_main_health_mlp_compact_non_label_source,xjtu_cross_health_mlp_compact_non_label_source,WeightedF1,higher_is_better,0.3711011190718926,0.7024218421547633,-0.33132072308287075,Cross-condition WeightedF1 is higher than the main split reference in this run.,"This run trains on 35Hz12kN, validates on 37.5Hz11kN, and tests on 40Hz10kN. Results measure condition-shift robustness, not ordinary same-condition bearing generalization."
early_fault_tabular,xjtu_main_early_mlp_compact_non_label_source,xjtu_cross_early_mlp_compact_non_label_source,WeightedF1,higher_is_better,0.8416822329553054,0.7544851394213028,0.08719709353400262,Cross-condition WeightedF1 is worse than the main split reference.,"This run trains on 35Hz12kN, validates on 37.5Hz11kN, and tests on 40Hz10kN. Results measure condition-shift robustness, not ordinary same-condition bearing generalization."
