experiment_id,dataset,split,task,feature_subset,label_source_included,model,hidden_size,batch_size,lr,weight_decay,feature_count,max_epochs,last_epoch,best_epoch,best_metric,primary_metric,val_primary,test_primary,val_loss,test_loss,status,notes
xjtu_main_rul_mlp_tuned_full_manual_basic_no_reference,XJTU-SY,xjtu_bearing_index_split,rul_tabular,full_manual_basic_no_reference,no,mlp,128,64,0.0005,0.0001,44,50,50,31,0.04742049031106203,RMSE,0.2253986503038756,0.44310637716406176,0.051500377309922546,0.19801845052279532,completed,"Tuned MLP pilot: hidden_size=128, batch_size=64, lr=0.0005, weight_decay=0.0001, max_epochs=50; independent non-reference subset."
xjtu_main_health_mlp_tuned_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,health_state_tabular,compact_non_label_source,no,mlp,128,64,0.0005,0.0001,6,50,50,1,0.9436742174956534,WeightedF1,0.5849414493855026,0.3591458049867216,1.3484702014398795,5.3885317873209715,completed,"Tuned MLP pilot: hidden_size=128, batch_size=64, lr=0.0005, weight_decay=0.0001, max_epochs=50; independent non-reference subset."
xjtu_main_early_mlp_tuned_compact_non_label_source,XJTU-SY,xjtu_bearing_index_split,early_fault_tabular,compact_non_label_source,no,mlp,128,64,0.0005,0.0001,5,50,50,1,0.6829241250583714,WeightedF1,0.644100699244395,0.8370473352760115,0.7913479963662448,3.691874473610369,completed,"Tuned MLP pilot: hidden_size=128, batch_size=64, lr=0.0005, weight_decay=0.0001, max_epochs=50; independent non-reference subset."
phm_official_rul_mlp_tuned_compact_non_label_source,PHM2012,phm2012_official,rul_tabular,compact_non_label_source,no,mlp,128,64,0.0005,0.0001,7,50,50,13,0.17090029610998875,RMSE,0.46833677265165335,0.3376609430602864,0.22179067308110567,0.11407990058925112,completed,"Tuned MLP pilot: hidden_size=128, batch_size=64, lr=0.0005, weight_decay=0.0001, max_epochs=50; independent non-reference subset."
phm_official_health_mlp_tuned_compact_non_label_source,PHM2012,phm2012_official,health_state_tabular,compact_non_label_source,no,mlp,128,64,0.0005,0.0001,5,50,50,1,1.3909879577729631,WeightedF1,0.23853358850377687,0.4415982663205793,2.100133939043564,1.6764475292361833,completed,"Tuned MLP pilot: hidden_size=128, batch_size=64, lr=0.0005, weight_decay=0.0001, max_epochs=50; independent non-reference subset."
phm_official_early_mlp_tuned_compact_non_label_source,PHM2012,phm2012_official,early_fault_tabular,compact_non_label_source,no,mlp,128,64,0.0005,0.0001,7,50,50,1,0.636188914504599,WeightedF1,0.37224407897952594,0.679212381287727,1.381179126786746,0.7679468666683087,completed,"Tuned MLP pilot: hidden_size=128, batch_size=64, lr=0.0005, weight_decay=0.0001, max_epochs=50; independent non-reference subset."
