experiment_id,dataset,split,task,feature_subset,label_source_included,model,feature_count,max_epochs,last_epoch,best_epoch,best_metric,primary_metric,val_primary,test_primary,val_loss,test_loss,status,notes
xjtu_cross_rul_mlp_full_manual_basic_no_reference,XJTU-SY,xjtu_cross_condition,rul_tabular,full_manual_basic_no_reference,no,mlp,44,50,50,45,0.027766565175736512,RMSE,0.18169492239766388,0.18246257354785367,0.033032947330384005,0.033534859902415934,completed,"This run trains on 35Hz12kN, validates on 37.5Hz11kN, and tests on 40Hz10kN. Results measure condition-shift robustness, not ordinary same-condition bearing generalization."
xjtu_cross_health_mlp_compact_non_label_source,XJTU-SY,xjtu_cross_condition,health_state_tabular,compact_non_label_source,no,mlp,6,50,50,25,0.7215468736783582,WeightedF1,0.5716557212301087,0.7024218421547633,0.7442106251813927,0.8465112621064856,completed,"This run trains on 35Hz12kN, validates on 37.5Hz11kN, and tests on 40Hz10kN. Results measure condition-shift robustness, not ordinary same-condition bearing generalization."
xjtu_cross_early_mlp_compact_non_label_source,XJTU-SY,xjtu_cross_condition,early_fault_tabular,compact_non_label_source,no,mlp,5,50,50,18,0.31520273431831464,WeightedF1,0.8927862806485578,0.7544851394213028,0.3702373311370526,0.7247065614041852,completed,"This run trains on 35Hz12kN, validates on 37.5Hz11kN, and tests on 40Hz10kN. Results measure condition-shift robustness, not ordinary same-condition bearing generalization."
